sourceID,reportingCompany,reportYear,entityCountry,entityName,paymentType,entityPayment,notes,nrgiNotes
6f23cc396d6c684e1146f05904d9e1a1-018d4c7d4aec4064d0ea07ce804774d7-f9a5dd38c26c25ba3da31af3387e8974-1f5c9d7812b8027cb2fd9d4f7e0e2a5e,Aggregate Industries United Kingdom Limited,2015,Nigeria,Federal Government of Nigeria,Royalties,985056.517992,NA,Converted to USD from  CHF at the rate : 1.039089154; Company  -  Aggregate Industries Uk Limited  - was replaced by -  Aggregate Industries United Kingdom Limited ; Entity  -  National Government  - was replaced by -  Federal Government of Nigeria ;
6f23cc396d6c684e1146f05904d9e1a1-018d4c7d4aec4064d0ea07ce804774d7-f9a5dd38c26c25ba3da31af3387e8974-1f5c9d7812b8027cb2fd9d4f7e0e2a5e,Aggregate Industries United Kingdom Limited,2015,Nigeria,Federal Government of Nigeria,Taxes,3283521.72664,NA,Converted to USD from  CHF at the rate : 1.039089154; Company  -  Aggregate Industries Uk Limited  - was replaced by -  Aggregate Industries United Kingdom Limited ; Payment Type  -  Tax  - was replaced by -  Taxes ; Entity  -  National Government  - was replaced by -  Federal Government of Nigeria ;
bfdf0f7214e79cf7fe521ab4a83e1fbc-91068e28c8c4a841d692c86c6449e29c-db5752b7e5a6370d2da56d5a33deb315-e2f3fdeba6425780e92aef4f97da5a07,Aggregate Industries United Kingdom Limited,2016,Nigeria,Federal Government of Nigeria,Royalties,853600.6794520001,NA,Converted to USD from  CHF at the rate : 1.014982972; Company  -  Aggregate Industries Uk Limited  - was replaced by -  Aggregate Industries United Kingdom Limited ; Entity  -  National Government  - was replaced by -  Federal Government of Nigeria ;
bfdf0f7214e79cf7fe521ab4a83e1fbc-91068e28c8c4a841d692c86c6449e29c-db5752b7e5a6370d2da56d5a33deb315-e2f3fdeba6425780e92aef4f97da5a07,Aggregate Industries United Kingdom Limited,2016,Nigeria,Federal Government of Nigeria,Taxes,1634122.58492,NA,Converted to USD from  CHF at the rate : 1.014982972; Company  -  Aggregate Industries Uk Limited  - was replaced by -  Aggregate Industries United Kingdom Limited ; Payment Type  -  Tax  - was replaced by -  Taxes ; Entity  -  National Government  - was replaced by -  Federal Government of Nigeria ;
03d0ece12cd1e65c60e7672b074995b4,Chevron Canada Limited,2016,Nigeria,Federal Inland Revenue Service; Federal Ministry of Finance; Nigeria,Taxes,494190568.79,Translated using the financial year end FX rate: 1 USD : 1.3427 CAD.,Converted to USD from  CAD at the rate : 0.754489418; Entity  -  Federal Inland Revenue Services  - was replaced by -  Federal Inland Revenue Service; Federal Ministry of Finance; Nigeria ;
03d0ece12cd1e65c60e7672b074995b4,Chevron Canada Limited,2016,Nigeria,Department of Petroleum Resources; Federal Ministry of Petroleum Resources; Nigeria,Royalties,208239079.368,Translated using the financial year end FX rate: 1 USD : 1.3427 CAD.,Converted to USD from  CAD at the rate : 0.754489418; Entity  -  Department of Petroleum Resources  - was replaced by -  Department of Petroleum Resources; Federal Ministry of Petroleum Resources; Nigeria ;
03d0ece12cd1e65c60e7672b074995b4,Chevron Canada Limited,2016,Nigeria,Export Supervision Scheme; Federal Ministry of Finance; Nigeria,Fees,4066697.96302,Payments made in naira are translated to US dollars using the payment date FX rate. US dollars are converted to Canadian dollars using the financial year end FX rate: 1 USD : 1.3427 CA,Converted to USD from  CAD at the rate : 0.754489418; Entity  -  Nigerian Export Supervision Scheme  - was replaced by -  Export Supervision Scheme; Federal Ministry of Finance; Nigeria ;
03d0ece12cd1e65c60e7672b074995b4,Chevron Canada Limited,2016,Nigeria,Delta Development Commission; Ministry of Niger Delta Affairs; Nigeria,Fees,62999866.403000005,Translated using the financial year end FX rate: 1 USD : 1.3427 CAD.,Converted to USD from  CAD at the rate : 0.754489418; Entity  -  Niger Delta Development Commission  - was replaced by -  Delta Development Commission; Ministry of Niger Delta Affairs; Nigeria ;
03d0ece12cd1e65c60e7672b074995b4,Chevron Canada Limited,2016,Nigeria,Department of Petroleum Resources; Federal Ministry of Petroleum Resources; Nigeria,Fees,1825864.3915600001,Translated using the financial year end FX rate: 1 USD : 1.3427 CAD.,Converted to USD from  CAD at the rate : 0.754489418; Entity  -  Department of Petroleum Resources  - was replaced by -  Department of Petroleum Resources; Federal Ministry of Petroleum Resources; Nigeria ;
a78a8df57ad2e4ad2a2a18df9169c19e,CNOOC Limited,2016,Nigeria,Federal Inland Revenue Service; Federal Ministry of Finance; Nigeria,Taxes,7434745.2504,Taxes is education Taxes,Converted to USD from  CNY at the rate : 0.150500916; Company  -  Cnooc Limited  - was replaced by -  CNOOC Limited ; Entity  -  Federal Inland Revenue Service Firs  - was replaced by -  Federal Inland Revenue Service; Federal Ministry of Finance; Nigeria ;
