Year,Company,Country,Project,Project ID,Level ,Payment Type,Currency,Value 
2015,Total Sa,Angola,Block 17,ao-bloc-bziuaw,project,Production Entitlements,USD,"1,535,173,000"
2015,Total Sa,Indonesia,Mahakam PSC,,company,Production Entitlements,USD,"841,410,000"
2015,Total Sa,Norway,Non-attributable,,unknown,Tax,USD,"837,188,000"
2015,Total Sa,Angola,Block 17,ao-bloc-bziuaw,project,Tax,USD,"660,639,000"
2015,Vedanta Resources,India,CIL-RJ-ON-90/1,in-cil--fddare,project,Tax,USD,"564,630,000"
2015,Total Sa,Qatar,Dolphin,qa-dolp-dx7bol,project,Production Entitlements,USD,"541,120,000"
2015,Total Sa,Thailand,Bongkot,th-bong-6ifjlx,project,Tax,USD,"360,417,000"
2015,Vedanta Resources,India,Hindustan Zinc Ltd,,company,Tax,USD,"355,010,000"
2015,Total Sa,Oman,Block 6,om-bloc-gimy0x,project,Tax,USD,"250,033,000"
2015,Total Sa,Gabon,Concession Fields (Non-attributable),,unknown,Tax,USD,"115,754,000"
2015,Vedanta Resources,India,HZL-RA Mines,in-hzl--aay5od,project,Royalties,USD,"112,450,000"
2015,Total Sa,Nigeria,OML130 PSA (Akpo & Egina),ng-oml1-rpsl58,project,Tax,USD,"108,594,000"
2015,Total Sa,Congo,CPP Pointe Noire Grands Fonds (PNGF),cg-cppp-t8qeak,project,Tax,USD,"101,602,000"
2015,Total Sa,Algeria,Tin Fouyé Tabenkort,dz-tin -ukli5d,project,Tax,USD,"96,226,000"
2015,Total Sa,Congo,CPP Haute Mer - Zone A,cg-cpph-0iguza,project,Tax,USD,"95,539,000"
2015,Total Sa,Congo,"Kombi, Likalala & Libondo",cg-komb-mddlvh,project,Tax,USD,"77,287,000"
2015,Total Sa,Gabon,Concession Fields (Non-attributable),,unknown,Infrastructure,USD,"62,688,000"
2015,Randgold Resources,Mali,Société des Mines de Gounkoto SA,ml-soci-xlyx2l,project,Tax,USD,"46,299,978"
2015,Total Sa,Nigeria,"Joint ventures with NNPC, operated - non-attributable",,company,Infrastructure,USD,"46,122,000"
2015,Total Sa,Argentina,Tierra del Fuego,ar-tier-g9tk9g,project,Tax,USD,"45,704,000"
2015,Total Sa,United Kingdom of Great Britain and Northern Ireland,Central Graben Area,gb-cent-8uo9wd,project,Tax,USD,"44,778,000"
2015,Total Sa,United Arab Emirates,Abu Al Bukhoosh,ae-abu -ys7lmn,project,Tax,USD,"44,240,000"
