Country,Projects,Sites,Fields,Concessions,Payments
Algeria,4,0,0,0,12
Angola,17,0,0,0,45
Argentina,10,0,0,0,20
Australia,33,0,0,0,83
Azerbaijan,4,0,0,0,14
"Bolivia, Plurinational State of",13,0,0,0,18
Botswana,0,0,0,0,1
Brazil,38,0,0,0,57
Brunei Darussalam,3,0,0,0,5
Bulgaria,2,0,0,0,2
Burkina Faso,5,0,0,0,11
Cameroon,1,0,0,0,1
Canada,36,0,0,0,71
Chad,6,0,0,0,8
Chile,7,0,0,0,10
China,10,0,0,0,15
Colombia,20,0,0,0,37
Congo,9,0,0,0,16
"Congo, the Democratic Republic of the",3,0,0,0,6
Cote d'Ivoire,5,0,0,0,10
Cyprus,1,0,0,0,2
Denmark,1,0,0,0,1
Egypt,33,0,0,0,39
Equatorial Guinea,8,0,0,0,12
Ethiopia,1,0,0,0,2
Falkland Islands (Malvinas),1,0,0,0,1
Faroe Islands,0,0,0,0,1
France,3,0,0,0,3
Gabon,35,0,0,0,56
Germany,2,0,0,0,2
Ghana,20,16,0,0,5
Greenland,4,0,0,0,5
Guinea,5,0,0,0,7
Hong Kong,1,0,0,0,1
Hungary,1,0,0,0,3
India,22,0,0,0,39
Indonesia,11,0,0,0,22
"Iran, Islamic Republic of",0,0,0,0,3
Iraq,8,0,0,0,14
Ireland,6,0,0,0,8
Italy,3,0,0,0,3
Jamaica,1,0,0,0,1
Jordan,1,0,0,0,1
Kazakhstan,25,0,0,0,68
Kenya,11,0,0,0,14
Lesotho,0,0,0,0,2
Libya,4,0,0,0,6
Madagascar,5,0,0,0,6
Malaysia,12,0,0,0,27
Mali,2,0,0,0,10
Malta,1,0,0,0,1
Mauritania,6,0,0,0,7
Mexico,12,0,0,0,17
Mongolia,1,0,0,0,3
Morocco,3,0,0,0,3
Mozambique,1,0,0,0,1
Myanmar,1,0,0,0,2
Namibia,4,0,0,0,6
Netherlands,19,0,0,0,20
New Zealand,4,0,0,0,6
Nicaragua,0,0,0,0,1
Nigeria,278,0,302,171,37
Norway,36,0,0,0,45
Oman,4,0,0,0,7
Pakistan,9,0,0,0,12
Peru,59,15,0,32,27
Philippines,1,0,0,0,2
Qatar,5,0,0,0,10
Romania,1,0,0,0,1
Russian Federation,74,0,0,0,229
Senegal,1,0,0,0,2
Serbia,0,0,0,0,2
Seychelles,1,0,0,0,1
Slovakia,1,0,0,0,1
South Africa,30,0,0,0,50
Suriname,2,0,0,0,2
Tajikistan,1,0,0,0,1
"Tanzania, United Republic of",7,0,0,0,30
Thailand,2,0,0,0,6
Trinidad and Tobago,10,0,0,0,18
Tunisia,3,0,0,0,10
Turkey,7,0,0,0,7
Uganda,4,0,0,0,5
Ukraine,9,0,0,0,11
United Arab Emirates,4,0,0,0,10
United Kingdom of Great Britain and Northern Ireland,176,0,0,0,238
United States of America,86,0,0,0,129
Uruguay,8,0,0,0,8
Uzbekistan,2,0,0,0,8
"Venezuela, Bolivarian Republic of",1,0,0,0,1
Viet Nam,6,0,0,0,12
Yemen,4,0,0,0,6
Zambia,5,0,0,0,6
Zimbabwe,2,0,0,0,3
