Company,Group(s),Projects,Sites,Fields,Payments
Zeropex AS (former Energreen AS),Statoil,0,0,0,0
Zebra Energy,,1,0,1,0
Yinka Folawiyo Petroleum Co Ltd,,1,0,1,0
Wind Power AS,Statoil,0,0,0,0
West African Quarries,Heidelberg Cement,1,0,0,0
Volcan Compañía Minera S.A.A.,,0,0,0,0
Vikan Eiendom AS,Statoil,0,0,0,0
Vestprosess DA,Statoil,0,0,0,0
Verde Resources S.A.C.,,0,0,0,0
Verdande Technology AS,Statoil,0,0,0,0
Vedanta Resources,,21,0,0,59
VP Energy,,1,0,1,0
Tullow Oil PLC,,82,0,0,184
Trian Energy/Cosy Energy,,1,0,1,0
Transcorp,,1,0,1,0
Trans-Siberian Gold plc,,1,0,0,4
Trac ID Systems AS,Statoil,0,0,0,0
Total Sa,,117,0,0,326
Total,Total,39,0,39,0
Tjeldbergodden Utvikling AS,Statoil,0,0,0,0
Tjeldbergodden Luftgassfabrikk DA,Statoil,0,0,0,0
Tinka Resources S.A.C.,,0,0,0,0
Tianjin Energy Resources,,1,0,1,0
Thor Energy AS,Statoil,0,0,0,0
The Baku-Tblisi-Ceyhan Pipeline Company,Statoil,0,0,0,0
Texaco Overseas,Texaco,0,0,0,0
Tethys Petroleum Limited,,5,0,0,15
TenOil,,1,0,1,0
TechInvent AS,Statoil,0,0,0,0
Tatneft Pjsc,,0,0,0,7
Såkorninvest II AS,Statoil,0,0,0,0
Sway Turbine AS,Statoil,0,0,0,0
Svenska,,2,0,2,0
Svanholmen 8 AS,Statoil,0,0,0,0
Suntera,Sun Group,2,0,2,0
Sunlink Petroleum,,1,0,1,0
Suncor Energy UK Limited,,1,0,0,2
Summit Oil International Ltd,,2,0,2,0
Strandveien 4 AS,Statoil,0,0,0,0
Sterling,,17,0,2,0
Statoil do Brasil Ltda,Statoil,0,0,0,0
Statoil Zeta Netherlands B.V.,Statoil,0,0,0,0
Statoil Zagros Oil and Gas AS,Statoil,0,0,0,0
Statoil Wind US LLC,Statoil,0,0,0,0
Statoil Wind Limited,Statoil,0,0,0,0
Statoil Venture AS,Statoil,0,0,0,0
Statoil Venezuela AS,Statoil,0,0,0,0
Statoil Uruguay B.V.,Statoil,0,0,0,0
Statoil USA Properties Inc.,Statoil,0,0,0,0
Statoil USA Onshore Properties Inc.,Statoil,0,0,0,0
Statoil USA E&P Inc.,Statoil,0,0,0,0
Statoil US Holdings Inc.,Statoil,0,0,0,0
Statoil UK Properties Limited,Statoil,0,0,0,0
Statoil UK Holdings Limited,Statoil,0,0,0,0
Statoil Trinta e Quatro AS,Statoil,0,0,0,0
Statoil Texas Onshore Properties LLC,Statoil,0,0,0,0
Statoil Technology Invest AS,Statoil,0,0,0,0
Statoil Tanzania AS,Statoil,0,0,0,0
Statoil Sverige Kharyaga AB,Statoil,0,0,0,0
Statoil Suriname B.V.,Statoil,0,0,0,0
