assetKey,projectKey,locationKey
New CaledoniaPRA 436 Gouaro (Cadart),New CaledoniaPRA 436 Gouaro (Cadart),New CaledoniaPRA 436 Gouaro (Cadart)
New CaledoniaOpen 2022 J - New Caledonia Cadart Area Onshore ,New CaledoniaNew Caledonia Onshore,New CaledoniaNew Caledonia
PalauPalau North Block,PalauPalau North Block,PalauPalau North Block
New ZealandRefinery gains,New ZealandRefinery gains,New ZealandNew Zealand
New ZealandKapuni,New ZealandKapuni,New ZealandPML 38839 (Kapuni)
New ZealandMangahewa,New ZealandMangahewa,New ZealandPMP 38150 (Mangahewa)
New ZealandMaui,New ZealandMaui,New ZealandPML 381012 (Maui)
New ZealandKawau 1A,New ZealandKawau 1A,New ZealandPEP 38225 (Kawau 1A)
New ZealandMcKee,New ZealandMcKee,New ZealandPML 38086 (McKee)
New ZealandKaimiro,New ZealandKaimiro,New ZealandPML 38091 (Kaimiro)
New ZealandMaari,New ZealandMaari,New ZealandPMP 38160 (Maari)
New ZealandWaihapa/Ngaere,New ZealandWaihapa/Ngaere,New ZealandPML 38140 (Waihapa/Ngaere)
New ZealandTariki/Ahuroa,New ZealandTariki,New ZealandPML 38138 (Tariki)
New ZealandKupe South,New ZealandKupe,New ZealandPML 38146 (Kupe South)
New ZealandCardiff,New ZealandCardiff,New ZealandPMP 38156
New ZealandNgatoro,New ZealandNgatoro,New ZealandPMP 38148 (Ngatoro)
New ZealandPiakau,New ZealandPiakau,New ZealandPML 38139 (Ahuroa)
New ZealandGoldie,New ZealandGoldie,New ZealandPMP 38148 (Goldie)
New ZealandRimu,New ZealandSouth Taranaki Energy Project (STEP),New ZealandPMP 38151 (Rimu)
New ZealandPohokura,New ZealandPohokura,New ZealandPEP 38459 (Pohokura)
New ZealandKahili,New ZealandKahili,New ZealandPEP 38736 (Kahili)
New ZealandSurrey,New ZealandSurrey,New ZealandPEP 38734 (Surrey)
New ZealandKarewa,New ZealandOffshore Northern Taranaki,New ZealandPEP 38602 (Karewa)
New ZealandTui,New ZealandTui Oil Project,New ZealandPMP 38158
New ZealandRadnor,New ZealandRadnor,New ZealandRadnor
New ZealandTurangi,New ZealandTurangi,New ZealandPMP 38161
New ZealandWaitangi Hill,New ZealandWaitangi Hill,New ZealandPEP 38348
New ZealandGoodwin,New ZealandGoodwin,New ZealandPEP 38226
New ZealandOhai CSG,New ZealandOhai CSG,New ZealandPEP 38220
New ZealandKowhai,New ZealandKowhai,New ZealandPEP 38742
New ZealandAwakino South 1,New ZealandPEP 38479,New ZealandPEP 38479
New ZealandSidewinder,New ZealandSidewinder,New ZealandPEP 38748
New ZealandCopper Moki,New ZealandCopper Moki,New ZealandPMP 55491
New ZealandOnaero,New ZealandOnaero,New ZealandPEP 38746
New ZealandPuka,New ZealandPuka,New ZealandPEP 51153
New ZealandWaitapu-2,New ZealandWaitapu-2,New ZealandPEP 51150
New ZealandNgapaeruru,New ZealandWaipawa Black Shale,New ZealandPEP 38349
New ZealandCheal G,New ZealandPEP 54879,New ZealandPEP 54879
New ZealandCrossroads,New ZealandPetroleum Creek Project,New ZealandPEP 38526
New ZealandPML 38141 (Ngaere),New ZealandPML 38141 (Ngaere),New ZealandPML 38141 (Ngaere)
New ZealandPEP 57068 (Murchison),New ZealandPEP 57068,New ZealandPEP 57068
New ZealandPEP 55768,New ZealandPEP 55768,New ZealandPEP 55768
New ZealandPEP 54863 (12GS2),New ZealandPEP 54863,New ZealandPEP 54863
New ZealandPEP 55769,New ZealandPEP 55769,New ZealandPEP 55769
New ZealandPEP 50119,New ZealandPEP 50119,New ZealandPEP 50119
New ZealandPEP 51152,New ZealandPEP 51152,New ZealandPEP 51152
New ZealandPEP 52717,New ZealandPEP 52717,New ZealandPEP 52717
New ZealandPMP 50100,New ZealandPMP 50100,New ZealandPMP 50100
New ZealandPML 38140 (Waihapa),New ZealandPML 38140,New ZealandPML 38140
New ZealandPEP 51906,New ZealandPEP 51906,New ZealandPEP 51906
New ZealandPMP 38160,New ZealandPMP 38160,New ZealandPMP 38160
New ZealandPML 38086,New ZealandPEP 38086,New ZealandPEP 38086
New ZealandPEP 55794 (Toroa),New ZealandPEP 55794 (Toroa),New ZealandPEP 55794 (Toroa)
New ZealandPEP 55789,New ZealandPEP 55789,New ZealandPEP 55789
New ZealandPEP 57067 (Taramakau),New ZealandPEP 57067,New ZealandPEP 57067
New ZealandPEP 38264,New ZealandPEP 38264,New ZealandPEP 38264
New ZealandPEP 57085,New ZealandPEP 57085,New ZealandPEP 57085
New ZealandPEP 57090,New ZealandPEP 57090,New ZealandPEP 57090
New ZealandPEP 57075,New ZealandPEP 57075,New ZealandPEP 57075
New ZealandPEP 57080,New ZealandPEP 57080,New ZealandPEP 57080
New ZealandPEP 57070,New ZealandPEP 57070,New ZealandPEP 57070
New ZealandPEP 57073,New ZealandPEP 57073,New ZealandPEP 57073
New ZealandPEP 57076,New ZealandPEP 57076,New ZealandPEP 57076
New ZealandPEP 57063,New ZealandPEP 57063,New ZealandPEP 57063
New ZealandPEP 57057,New ZealandPEP 57057,New ZealandPEP 57057
