sourceID,reportingCompany,companyId,contribEmail,reportingCountry,sourceURL,timeSourceAdded,sourceAddType,format,timeSourceScraped,scraped,reportStartDate,reportEndDate,fiscalYear,reportCurrency,currencyMultiplier,nonCurrencyPayment,review,sourceAddedBy,sourcePublishDate,reason
Z5OjA,1295739 Alberta Ltd.,NA,NA,Canada,http://s3-ca-central-1.amazonaws.com/obsidian-media-library/obsidian-energy/corporate-website/current/wp-content/uploads/2017/06/27194122/ESTMA_Report2016-Final.pdf,8/24/17 16:42,ESTMA Scraper,PDF,NA,yes,NA,NA,NA,NA,NA,NA,NA,hsubhash@resourcegovernance.org,6/1/17,NA
AvxqZ,16747456 Alberta Ltd.,NA,NA,Canada,https://s3-ca-central-1.amazonaws.com/obsidian-media-library/obsidian-energy/corporate-website/current/wp-content/uploads/2017/06/27194122/ESTMA_Report2016-Final.pdf,8/24/17 16:42,ESTMA Scraper,PDF,NA,yes,NA,NA,NA,NA,NA,NA,NA,hsubhash@resourcegovernance.org,6/1/17,NA
XJYwA,Abu Dhabi Marine Areas Limited,NA,hsubhash@resourcegovernance.org,United Kingdom,https://extractives.companieshouse.gov.uk/company/00533446/year/2015/version/1/zip,8/30/17 13:13,CoHo Api,API,8/30/17 13:13,yes,1/1/15,12/31/15,NA,USD,1,NA,NA,hsubhash@resourcegovernance.org,10/5/16,NA
AYBGX,Abu Dhabi Marine Areas Limited,NA,hsubhash@resourcegovernance.org,United Kingdom,https://extractives.companieshouse.gov.uk/company/00533446/year/2015/version/1/zip,8/30/17 13:13,CoHo Api,API,8/30/17 13:13,yes,1/1/15,12/31/15,NA,USD,1,NA,NA,hsubhash@resourcegovernance.org,10/5/16,NA
Lo0oA,Acacia Mining PLC,NA,hsubhash@resourcegovernance.org,United Kingdom,https://extractives.companieshouse.gov.uk/company/07123187/year/2015/version/1/zip,8/30/17 13:13,CoHo Api,API,8/30/17 13:13,yes,1/1/15,12/31/15,NA,USD,1,NA,NA,hsubhash@resourcegovernance.org,12/6/16,NA
AdrbZ,Acacia Mining PLC,NA,hsubhash@resourcegovernance.org,United Kingdom,https://extractives.companieshouse.gov.uk/company/07123187/year/2015/version/1/zip,8/30/17 13:13,CoHo Api,API,8/30/17 13:13,yes,1/1/15,12/31/15,NA,USD,1,NA,NA,hsubhash@resourcegovernance.org,12/6/16,NA
dAgYZ,Advantage Oil & Gas Ltd.,NA,elliot.kt.tan@gmail.com,Canada,http://www.advantageog.com/wp-content/uploads/2017/05/ESTMA-Reporting-AAV-2016.pdf,6/5/17,ESTMA scraper,PDF,2017-07-01 11:32:23 EDT,yes,1/1/16,12/31/16,NA,USD,1,FALSE,new data,tmorrison@resourcegovernance.org,5/29/17,NA
PXJ6X,Aecon Group Inc.,NA,elliot.kt.tan@gmail.com,Canada,http://www.aecon.com/ESTMAReportingTemplate.pdf,6/5/17,ESTMA scraper,PDF,2017-07-01 11:32:23 EDT,yes,1/1/16,12/31/16,NA,USD,1,FALSE,new data,tmorrison@resourcegovernance.org,5/5/17,NA
BAbdZ,Africa Oil Corp.,NA,elliot.kt.tan@gmail.com,Canada,http://www.africaoilcorp.com/i/pdf/2016-ESTMA-AOI.pdf,6/5/17,ESTMA scraper,PDF,2017-07-01 11:32:23 EDT,yes,1/1/16,12/31/16,NA,USD,1,FALSE,new data,tmorrison@resourcegovernance.org,5/27/17,NA
Ag0oX,Aggregate Industries UK Limited,NA,hsubhash@resourcegovernance.org,United Kingdom,https://extractives.companieshouse.gov.uk/company/00245717/year/2015/version/1/zip,8/30/17 13:13,CoHo Api,API,8/30/17 13:13,yes,1/1/15,12/31/15,NA,CHF,1,NA,NA,hsubhash@resourcegovernance.org,10/25/16,NA
XDYvZ,Aggregate Industries UK Limited,NA,hsubhash@resourcegovernance.org,United Kingdom,https://extractives.companieshouse.gov.uk/company/00245717/year/2015/version/1/zip,8/30/17 13:13,CoHo Api,API,8/30/17 13:13,yes,1/1/15,12/31/15,NA,CHF,1,NA,NA,hsubhash@resourcegovernance.org,10/25/16,NA
AqM3A,Agnico Eagle Mines Limited,NA,elliot.kt.tan@gmail.com,Canada,https://s21.q4cdn.com/374334112/files/doc_downloads/estma/E946113-Agnico-Eagle-Mines-Limited-Consolidated-ESTMA-Report-2016.pdf,6/7/17,ESTMA scraper,PDF,2017-07-01 11:32:23 EDT,yes,1/1/16,12/31/16,NA,USD,1,FALSE,DATA ERROR 1 project names found in entity names (in general),tmorrison@resourcegovernance.org,5/30/17,NA
AqE3A,Agrium Inc.,NA,elliot.kt.tan@gmail.com,Canada,http://www.agrium.com/sites/default/files/agrium_q416_ytd_estma_reporting_-_final.pdf,6/5/17,ESTMA scraper,PDF,2017-07-01 11:32:23 EDT,yes,1/1/16,12/31/16,NA,USD,1,FALSE,NA,tmorrison@resourcegovernance.org,5/26/17,resolved
EXBOZ,Alacer Gold Corp.,NA,elliot.kt.tan@gmail.com,Canada,http://www.alacergold.com/docs/default-source/ESTMA-Reports/2016-alacer-gold-estma-report_final2.pdf?sfvrsn=2,6/5/17,ESTMA scraper,PDF,2017-07-01 11:32:23 EDT,yes,1/1/16,12/31/16,NA,USD,1,FALSE,new data,tmorrison@resourcegovernance.org,5/2/17,NA
AqGkZ,Alamos Gold Inc.,NA,elliot.kt.tan@gmail.com,Canada,http://s1.q4cdn.com/556167425/files/doc_downloads/2017/ESTMA-Report-2016.pdf,6/5/17,ESTMA scraper,PDF,2017-07-01 11:32:23 EDT,yes,1/1/16,12/31/16,NA,USD,1,FALSE,new data,tmorrison@resourcegovernance.org,5/29/17,NA
pLwaX,Alderon Iron Ore Corp.,NA,elliot.kt.tan@gmail.com,Canada,http://www.alderonironore.com/images/pdf/2016/IRON_ESTMA_REPORT_YE_2016_FINAL.pdf,6/5/17,ESTMA scraper,PDF,2017-07-01 11:32:23 EDT,yes,1/1/16,12/31/16,NA,USD,1,FALSE,new data,tmorrison@resourcegovernance.org,5/11/17,NA
ApnQZ,Aldridge Minerals Inc.,NA,elliot.kt.tan@gmail.com,Canada,http://s1.q4cdn.com/788688556/files/doc_downloads/estma/2017/Aldridge-Consolidated_ESTMA-2016-ID-E672174-Final.pdf,6/5/17,ESTMA scraper,PDF,2017-07-01 11:32:23 EDT,yes,1/1/16,12/31/16,NA,USD,1,FALSE,new data,tmorrison@resourcegovernance.org,5/31/17,NA
Xyj9Z,Algold Resources Ltd,NA,NA,Canada,https://docs.google.com/viewerng/viewer?url=http://algold.com/wp-content/uploads/2017/05/Algold-ESTMA-Reporting-Dec-31-2016.pdf,8/24/17 16:42,ESTMA Scraper,PDF,NA,full duplicate,NA,NA,NA,NA,NA,NA,NA,hsubhash@resourcegovernance.org,6/1/17,NA
AV8eZ,Algold Resources Ltd.,NA,elliot.kt.tan@gmail.com,Canada,http://algold.com/wp-content/uploads/2017/05/Algold-ESTMA-Reporting-Dec-31-2016.pdf,6/5/17,ESTMA scraper,PDF,2017-07-01 11:32:23 EDT,yes,1/1/16,12/31/16,NA,USD,1,FALSE,new data,tmorrison@resourcegovernance.org,5/25/17,NA
dAkwA,Alloycorp Mining Inc.,NA,elliot.kt.tan@gmail.com,Canada,http://www.alloycorp.com/i/pdf/ESTMA-2016.pdf,6/5/17,ESTMA scraper,PDF,2017-07-01 11:32:23 EDT,yes,1/1/16,12/31/16,NA,USD,1,FALSE,new data,tmorrison@resourcegovernance.org,4/28/17,NA
PLQxZ,Almaden Minerals Ltd.,NA,elliot.kt.tan@gmail.com,Canada,http://www.almadenminerals.com/INVESTORS/DOCUMENTS/ESTMA/Almaden_ESTMA_2016.pdf,6/5/17,ESTMA scraper,PDF,2017-07-01 11:32:23 EDT,yes,1/1/16,12/31/16,NA,USD,1,FALSE,new data,tmorrison@resourcegovernance.org,5/17/17,NA
LooeL,Almadex Minerals Ltd.,NA,elliot.kt.tan@gmail.com,Canada,http://almadexminerals.com/INVESTORS/DOCUMENTS/ESTMA/Almadex_ESTMA-2016.pdf,6/5/17,ESTMA scraper,PDF,2017-07-01 11:32:23 EDT,yes,1/1/16,12/31/16,NA,USD,1,FALSE,NA,tmorrison@resourcegovernance.org,5/17/17,resolved
qAqYA,Almonty Industries Inc.,NA,elliot.kt.tan@gmail.com,Canada,http://www.almonty.com/_resources/Almonty_E963605_20170227_final.pdf,6/5/17,ESTMA scraper,PDF,2017-07-01 11:32:23 EDT,yes,10/1/15,9/30/16,NA,USD,1,FALSE,new data,tmorrison@resourcegovernance.org,2/17/17,NA
lAp0A,AltaGas Ltd,NA,elliot.kt.tan@gmail.com,Canada,https://www.altagas.ca/sites/default/files/2017-05/ESTMA%20Report.pdf,6/5/17,ESTMA scraper,PDF,2017-07-01 11:32:23 EDT,yes,1/1/16,12/31/16,NA,USD,1,FALSE,new data,tmorrison@resourcegovernance.org,5/30/17,NA
AMJDX,Altamira Gold Corp,NA,NA,Canada,https://altamiragold.com/wp-content/uploads/2017/08/ESTMA-Reporting-Alta-Floresta-Gold-2017.pdf,8/24/17 16:42,ESTMA Scraper,PDF,NA,yes,NA,NA,NA,NA,NA,NA,NA,hsubhash@resourcegovernance.org,8/14/17,NA
AkxBX,Altura Energy Inc.,NA,elliot.kt.tan@gmail.com,Canada,http://docs.wixstatic.com/ugd/d63ee4_3f979ea0bb2a47269f5e90efaf4db909.pdf,6/5/17,ESTMA scraper,PDF,2017-07-01 11:32:23 EDT,yes,1/1/16,12/31/16,NA,USD,1,FALSE,new data,tmorrison@resourcegovernance.org,5/24/17,NA
pZ5mZ,Alvopetro Energy Ltd.,NA,elliot.kt.tan@gmail.com,Canada,https://www.alvopetro.com/files/galleries/ESTMA%E2%80%93Alvopetro_report_2016_final.pdf,6/5/17,ESTMA scraper,PDF,2017-07-01 11:32:23 EDT,yes,1/1/16,12/31/16,NA,USD,1,FALSE,new data,tmorrison@resourcegovernance.org,5/23/17,NA
vLEyL,Americas Silver Corporation,NA,elliot.kt.tan@gmail.com,Canada,http://www.americassilvercorp.com/i/pdf/fs/ESTMA_2016.pdf,6/5/17,ESTMA scraper,PDF,2017-07-01 11:32:23 EDT,yes,1/1/16,12/31/16,NA,USD,1,FALSE,new data,tmorrison@resourcegovernance.org,5/26/17,NA
Ax35L,Amerigo Resources Ltd.,NA,elliot.kt.tan@gmail.com,Canada,http://www.amerigoresources.com/_resources/reports/ESTMA-ReportingTemplate-2016.pdf,6/13/17,ESTMA scraper,PDF,2017-07-01 11:32:23 EDT,yes,1/1/16,12/31/16,NA,USD,1,FALSE,new data,tmorrison@resourcegovernance.org,5/17/17,NA
AVdEZ,Anfield Gold Corp.,NA,elliot.kt.tan@gmail.com,Canada,https://anfieldgold.com/assets/docs/2016%20-%20ESTMA%20Report%20-%20Anfield%20Gold%20Corp..pdf,6/5/17,ESTMA scraper,PDF,2017-07-01 11:32:23 EDT,yes,1/1/16,12/31/16,NA,USD,1,FALSE,new data,tmorrison@resourcegovernance.org,5/30/17,NA
Ab6GA,Anglo American plc,NA,hsubhash@resourcegovernance.org,United Kingdom,https://extractives.companieshouse.gov.uk/company/03564138/year/2015/version/1/zip,8/30/17 13:13,CoHo Api,API,8/30/17 13:13,yes,1/1/15,12/31/15,NA,USD,1,NA,NA,hsubhash@resourcegovernance.org,6/30/16,NA
XBKQZ,Anglo American plc,NA,hsubhash@resourcegovernance.org,United Kingdom,https://extractives.companieshouse.gov.uk/company/03564138/year/2016/version/1/zip,8/30/17 13:13,CoHo Api,API,8/30/17 13:13,yes,1/1/16,12/31/16,NA,USD,1,NA,NA,hsubhash@resourcegovernance.org,6/30/17,NA
ARpaZ,Anglo American plc,NA,hsubhash@resourcegovernance.org,United Kingdom,https://extractives.companieshouse.gov.uk/company/03564138/year/2015/version/1/zip,8/30/17 13:13,CoHo Api,API,8/30/17 13:13,full duplicate,1/1/15,12/31/15,NA,USD,1,NA,NA,hsubhash@resourcegovernance.org,6/30/16,NA
AeKqZ,Anglo American plc,NA,hsubhash@resourcegovernance.org,United Kingdom,https://extractives.companieshouse.gov.uk/company/03564138/year/2016/version/1/zip,8/30/17 13:13,CoHo Api,API,8/30/17 13:13,full duplicate,1/1/16,12/31/16,NA,USD,1,NA,NA,hsubhash@resourcegovernance.org,6/30/17,NA
LwPPA,ANGLO ASIAN MINING PLC,NA,hsubhash@resourcegovernance.org,United Kingdom,https://extractives.companieshouse.gov.uk/company/05227012/year/2015/version/1/zip,8/30/17 13:13,CoHo Api,API,8/30/17 13:13,yes,1/1/15,12/31/15,NA,USD,1,NA,NA,hsubhash@resourcegovernance.org,11/9/16,NA
A4GML,ANGLO ASIAN MINING PLC,NA,hsubhash@resourcegovernance.org,United Kingdom,https://extractives.companieshouse.gov.uk/company/05227012/year/2015/version/1/zip,8/30/17 13:13,CoHo Api,API,8/30/17 13:13,yes,1/1/15,12/31/15,NA,USD,1,NA,NA,hsubhash@resourcegovernance.org,11/9/16,NA
Ag6oL,Antofagasta Minerals S.A.,NA,NA,Canada,http://www.antofagasta.co.uk/media/3269/antofagasta-payments-to-governments-report-2016-canada-estma.pdf,8/24/17 16:42,ESTMA Scraper,PDF,NA,not scraped,NA,NA,NA,NA,NA,NA,NA,hsubhash@resourcegovernance.org,7/4/17,NA
Ak0oX,Antofagasta plc,NA,hsubhash@resourcegovernance.org,United Kingdom,https://extractives.companieshouse.gov.uk/company/01627889/year/2015/version/1/zip,8/30/17 13:13,CoHo Api,API,8/30/17 13:13,yes,1/1/15,12/31/15,NA,USD,1,NA,NA,hsubhash@resourcegovernance.org,11/25/16,NA
