projectCountry,reportingCompany,projectName,paymentType,reportYear,projectPayment,projectType,snlPropID,commodity,lat,lon,locationType,totalPay,proportionPay
Angola,Eni,Block 0,Royalties,2016,79753540.5261,Oil & Gas,NA,"oil, gas",-5.640523,11.377027,Estimated,82364058.63486,0.9683051302712866
Angola,Eni,Block 0,Taxes,2016,2610518.1087599997,Oil & Gas,NA,"oil, gas",-5.640523,11.377027,Estimated,82364058.63486,0.0316948697287134
Angola,Total Sa,Block 0,Licensefees,2016,644e3,Oil & Gas,NA,"oil, gas",-5.640523,11.377027,Estimated,82944e3,0.0077642746913580245
Angola,Total Sa,Block 0,Taxes,2016,823e5,Oil & Gas,NA,"oil, gas",-5.640523,11.377027,Estimated,82944e3,0.992235725308642
Angola,Eni,Block 14,Taxes,2016,25552105.2171,Oil & Gas,NA,"oil, gas",-5.614082,11.248511,Estimated,25552105.2171,1
Angola,Total Sa,Block 14,Licensefees,2016,449e3,Oil & Gas,NA,"oil, gas",-5.614082,11.248511,Estimated,115149e3,0.003899295695142815
Angola,Total Sa,Block 14,Production entitlements,2016,832e5,Oil & Gas,NA,"oil, gas",-5.614082,11.248511,Estimated,115149e3,0.7225420976300272
Angola,Total Sa,Block 14,Taxes,2016,315e5,Oil & Gas,NA,"oil, gas",-5.614082,11.248511,Estimated,115149e3,0.27355860667483
Angola,Bp Plc,Block 15,Taxes,2016,111926517,Oil & Gas,NA,"oil, gas",-6.141258,11.609308,Estimated,111926517,1
Angola,Eni,Block 15,Taxes,2016,70019405.20529999,Oil & Gas,NA,"oil, gas",-6.141258,11.609308,Estimated,70019405.20529999,1
Angola,Bp Plc,Block 17,Taxes,2015,242187190,Oil & Gas,NA,"oil, gas",-7.633466,12.13176,Estimated,413631781,0.5855139791591595
Angola,Bp Plc,Block 17,Taxes,2016,171444591,Oil & Gas,NA,"oil, gas",-7.633466,12.13176,Estimated,413631781,0.4144860208408406
Angola,Total Sa,Block 17,Fees,2015,195e5,Oil & Gas,NA,"oil, gas",-7.633466,12.13176,Estimated,357644e4,0.005452349263513438
Angola,Total Sa,Block 17,Licensefees,2016,694e4,Oil & Gas,NA,"oil, gas",-7.633466,12.13176,Estimated,357644e4,0.0019404771225017055
Angola,Total Sa,Block 17,Production entitlements,2015,154e7,Oil & Gas,NA,"oil, gas",-7.633466,12.13176,Estimated,357644e4,0.430595787990292
Angola,Total Sa,Block 17,Production entitlements,2016,962e6,Oil & Gas,NA,"oil, gas",-7.633466,12.13176,Estimated,357644e4,0.26898256366666295
Angola,Total Sa,Block 17,Taxes,2015,661e6,Oil & Gas,NA,"oil, gas",-7.633466,12.13176,Estimated,357644e4,0.18482065965037858
Angola,Total Sa,Block 17,Taxes,2016,387e6,Oil & Gas,NA,"oil, gas",-7.633466,12.13176,Estimated,357644e4,0.10820816230665131
Angola,Bp Plc,Block 25,Bonuses,2015,2142857,Oil & Gas,NA,"oil, gas",-12.727429,12.34472,Estimated,2142857,1
Angola,Total Sa,Block 25,Fees,2015,171e3,Oil & Gas,NA,"oil, gas",-12.727429,12.34472,Estimated,5171e3,0.03306903887062464
Angola,Total Sa,Block 25,Payments for infrastructure improvements,2015,5e6,Oil & Gas,NA,"oil, gas",-12.727429,12.34472,Estimated,5171e3,0.9669309611293754
Australia,Aurico Metals Inc,Fosterville,Taxes,2016,981848.768198956,Mining,26353,"gold, , ,",-36.718539,144.503075,Exact,981848.768198956,1
Australia,Kirkland Lake Gold Ltd,Fosterville,Taxes,2016,15e5,Mining,26353,"gold, , ,",-36.718539,144.503075,Exact,15e5,1
