sourceID,projectCountry,reportingCompany,projectName,paymentType,reportYear,projectPayment,totPay,proportionPay,sourceURL,reportingCountry
src_dAgKYA,Algeria,Bp Plc,In Amenas,Fees,2016,128817,15799222,0.00815337615991471,https://extractives.companieshouse.gov.uk/company/00102498/year/2016/version/1/zip,United Kingdom of Great Britain and Northern Ireland
src_JLoNNZ,Algeria,Bp Plc,In Amenas,Taxes,2015,49466918,49466918,1,https://extractives.companieshouse.gov.uk/company/00102498/year/2015/version/1/zip,United Kingdom of Great Britain and Northern Ireland
src_dAgKYA,Algeria,Bp Plc,In Amenas,Taxes,2016,15670405,15799222,0.9918466238400853,https://extractives.companieshouse.gov.uk/company/00102498/year/2016/version/1/zip,United Kingdom of Great Britain and Northern Ireland
src_JLoNNZ,Algeria,Bp Plc,In Salah,Taxes,2015,84492164,84492164,1,https://extractives.companieshouse.gov.uk/company/00102498/year/2015/version/1/zip,United Kingdom of Great Britain and Northern Ireland
src_dAgKYA,Algeria,Bp Plc,In Salah,Taxes,2016,54731962,54731962,1,https://extractives.companieshouse.gov.uk/company/00102498/year/2016/version/1/zip,United Kingdom of Great Britain and Northern Ireland
src_1L93oX,Algeria,Statoil,In Amenas,Production entitlements,2015,50949339.060122654,50949339.060122654,1,https://www.statoil.com/content/dam/statoil/documents/annual-reports/2015/statoil-2015-payments-to-governments.pdf,Norway
src_nAMBJX,Algeria,Statoil,In Amenas,Production entitlements,2016,37565631.88,37565631.88,1,https://www.statoil.com/content/dam/statoil/documents/annual-reports/2016/statoil-2016-annual-report.pdf,Norway
src_1L93oX,Algeria,Statoil,In Salah,Production entitlements,2015,23307821.82794754,23307821.82794754,1,https://www.statoil.com/content/dam/statoil/documents/annual-reports/2015/statoil-2015-payments-to-governments.pdf,Norway
src_nAMBJX,Algeria,Statoil,In Salah,Production entitlements,2016,72239155.45,72239155.45,1,https://www.statoil.com/content/dam/statoil/documents/annual-reports/2016/statoil-2016-annual-report.pdf,Norway
src_JLoNNZ,Angola,Bp Plc,Block 15,Taxes,2015,118558137,118558137,1,https://extractives.companieshouse.gov.uk/company/00102498/year/2015/version/1/zip,United Kingdom of Great Britain and Northern Ireland
src_dAgKYA,Angola,Bp Plc,Block 15,Taxes,2016,111926517,111926517,1,https://extractives.companieshouse.gov.uk/company/00102498/year/2016/version/1/zip,United Kingdom of Great Britain and Northern Ireland
src_JLoNNZ,Angola,Bp Plc,Block 17,Taxes,2015,242187190,242187190,1,https://extractives.companieshouse.gov.uk/company/00102498/year/2015/version/1/zip,United Kingdom of Great Britain and Northern Ireland
src_dAgKYA,Angola,Bp Plc,Block 17,Taxes,2016,171444591,171444591,1,https://extractives.companieshouse.gov.uk/company/00102498/year/2016/version/1/zip,United Kingdom of Great Britain and Northern Ireland
src_JLoNNZ,Angola,Bp Plc,Block 25,Bonuses,2015,2142857,2142857,1,https://extractives.companieshouse.gov.uk/company/00102498/year/2015/version/1/zip,United Kingdom of Great Britain and Northern Ireland
src_JLoNNZ,Angola,Bp Plc,Block 31,Fees,2015,448078,1487329067,3.0126352664094073e-4,https://extractives.companieshouse.gov.uk/company/00102498/year/2015/version/1/zip,United Kingdom of Great Britain and Northern Ireland
src_JLoNNZ,Angola,Bp Plc,Block 31,Production entitlements,2015,1352101305,1487329067,0.90908013229865825,https://extractives.companieshouse.gov.uk/company/00102498/year/2015/version/1/zip,United Kingdom of Great Britain and Northern Ireland
src_dAgKYA,Angola,Bp Plc,Block 31,Production entitlements,2016,1169388056,1286512948,0.9089594145305097,https://extractives.companieshouse.gov.uk/company/00102498/year/2016/version/1/zip,United Kingdom of Great Britain and Northern Ireland
src_JLoNNZ,Angola,Bp Plc,Block 31,Taxes,2015,134779684,1487329067,0.09061860417470077,https://extractives.companieshouse.gov.uk/company/00102498/year/2015/version/1/zip,United Kingdom of Great Britain and Northern Ireland
src_dAgKYA,Angola,Bp Plc,Block 31,Taxes,2016,117124892,1286512948,0.09104058546949036,https://extractives.companieshouse.gov.uk/company/00102498/year/2016/version/1/zip,United Kingdom of Great Britain and Northern Ireland
src_EXBDqL,Angola,Eni,Block 0,Royalties,2016,79753540.5261,82364058.63486,0.9683051302712866,https://www.eni.com/docs/en_IT/enicom/publications-archive/publications/reports/reports-2016/Report-Payments-governments-2016.pdf,Italy
src_EXBDqL,Angola,Eni,Block 0,Taxes,2016,2610518.1087599997,82364058.63486,0.0316948697287134,https://www.eni.com/docs/en_IT/enicom/publications-archive/publications/reports/reports-2016/Report-Payments-governments-2016.pdf,Italy
src_EXBDqL,Angola,Eni,Block 14,Taxes,2016,25552105.2171,25552105.2171,1,https://www.eni.com/docs/en_IT/enicom/publications-archive/publications/reports/reports-2016/Report-Payments-governments-2016.pdf,Italy
src_EXBDqL,Angola,Eni,Block 15,Taxes,2016,70019405.20529999,70019405.20529999,1,https://www.eni.com/docs/en_IT/enicom/publications-archive/publications/reports/reports-2016/Report-Payments-governments-2016.pdf,Italy
src_1L93oX,Angola,Statoil,Block 15,Production entitlements,2015,334152791.7032343,459476709.01672375,0.727246419994429,https://www.statoil.com/content/dam/statoil/documents/annual-reports/2015/statoil-2015-payments-to-governments.pdf,Norway
src_nAMBJX,Angola,Statoil,Block 15,Production entitlements,2016,238158010.2,282617981.21999997,0.8426852713756003,https://www.statoil.com/content/dam/statoil/documents/annual-reports/2016/statoil-2016-annual-report.pdf,Norway
src_1L93oX,Angola,Statoil,Block 15,Taxes,2015,125323917.31348942,459476709.01672375,0.272753580005571,https://www.statoil.com/content/dam/statoil/documents/annual-reports/2015/statoil-2015-payments-to-governments.pdf,Norway
src_nAMBJX,Angola,Statoil,Block 15,Taxes,2016,44459971.02,282617981.21999997,0.15731472862439977,https://www.statoil.com/content/dam/statoil/documents/annual-reports/2016/statoil-2016-annual-report.pdf,Norway
src_1L93oX,Angola,Statoil,Block 17,Production entitlements,2015,867558217.0682826,1045748089.8007749,0.829605356710296,https://www.statoil.com/content/dam/statoil/documents/annual-reports/2015/statoil-2015-payments-to-governments.pdf,Norway
src_nAMBJX,Angola,Statoil,Block 17,Production entitlements,2016,592520440.4,749520440.4,0.7905327306134399,https://www.statoil.com/content/dam/statoil/documents/annual-reports/2016/statoil-2016-annual-report.pdf,Norway
src_1L93oX,Angola,Statoil,Block 17,Taxes,2015,178189872.7324923,1045748089.8007749,0.1703946432897039,https://www.statoil.com/content/dam/statoil/documents/annual-reports/2015/statoil-2015-payments-to-governments.pdf,Norway
src_nAMBJX,Angola,Statoil,Block 17,Taxes,2016,157e6,749520440.4,0.20946726938656016,https://www.statoil.com/content/dam/statoil/documents/annual-reports/2016/statoil-2016-annual-report.pdf,Norway
src_1L93oX,Angola,Statoil,Block 25,Bonuses,2015,2857407.7313974258,2857407.7313974258,1,https://www.statoil.com/content/dam/statoil/documents/annual-reports/2015/statoil-2015-payments-to-governments.pdf,Norway
src_1L93oX,Angola,Statoil,Block 31,Production entitlements,2015,32374046.284589298,38335267.19745562,0.844497734105738,https://www.statoil.com/content/dam/statoil/documents/annual-reports/2015/statoil-2015-payments-to-governments.pdf,Norway
src_nAMBJX,Angola,Statoil,Block 31,Production entitlements,2016,27392997.45,74403365.88,0.36816879352179116,https://www.statoil.com/content/dam/statoil/documents/annual-reports/2016/statoil-2016-annual-report.pdf,Norway
src_1L93oX,Angola,Statoil,Block 31,Taxes,2015,5961220.912866325,38335267.19745562,0.15550226589426203,https://www.statoil.com/content/dam/statoil/documents/annual-reports/2015/statoil-2015-payments-to-governments.pdf,Norway
src_nAMBJX,Angola,Statoil,Block 31,Taxes,2016,47010368.43,74403365.88,0.6318312064782089,https://www.statoil.com/content/dam/statoil/documents/annual-reports/2016/statoil-2016-annual-report.pdf,Norway
src_1L93oX,Angola,Statoil,Block 39,Bonuses,2015,8229334.265432543,8229334.265432543,1,https://www.statoil.com/content/dam/statoil/documents/annual-reports/2015/statoil-2015-payments-to-governments.pdf,Norway
src_nAMBJX,Angola,Statoil,Block 39,Bonuses,2016,108e5,108e5,1,https://www.statoil.com/content/dam/statoil/documents/annual-reports/2016/statoil-2016-annual-report.pdf,Norway
src_1L93oX,Angola,Statoil,Block 40,Bonuses,2015,2857407.7313974258,2857407.7313974258,1,https://www.statoil.com/content/dam/statoil/documents/annual-reports/2015/statoil-2015-payments-to-governments.pdf,Norway
src_WZWJaX,Angola,Total Sa,Block 0,Fees,2016,644e3,82944e3,0.0077642746913580245,https://www.total.com/sites/default/files/atoms/files/ddr2016_va_web.pdf,United Kingdom of Great Britain and Northern Ireland
src_WZWJaX,Angola,Total Sa,Block 0,Taxes,2016,823e5,82944e3,0.992235725308642,https://www.total.com/sites/default/files/atoms/files/ddr2016_va_web.pdf,United Kingdom of Great Britain and Northern Ireland
src_WZWJaX,Angola,Total Sa,Block 14,Fees,2016,449e3,115149e3,0.003899295695142815,https://www.total.com/sites/default/files/atoms/files/ddr2016_va_web.pdf,United Kingdom of Great Britain and Northern Ireland
src_WZWJaX,Angola,Total Sa,Block 14,Production entitlements,2016,832e5,115149e3,0.7225420976300272,https://www.total.com/sites/default/files/atoms/files/ddr2016_va_web.pdf,United Kingdom of Great Britain and Northern Ireland
src_WZWJaX,Angola,Total Sa,Block 14,Taxes,2016,315e5,115149e3,0.27355860667483,https://www.total.com/sites/default/files/atoms/files/ddr2016_va_web.pdf,United Kingdom of Great Britain and Northern Ireland
src_BLmGaX,Angola,Total Sa,Block 17,Fees,2015,195e5,22205e5,0.008781805899572169,http://www.total.com/sites/default/files/atoms/files/registration_document_2015.pdf,United Kingdom of Great Britain and Northern Ireland
src_WZWJaX,Angola,Total Sa,Block 17,Fees,2016,694e4,135594e4,0.005118220570231721,https://www.total.com/sites/default/files/atoms/files/ddr2016_va_web.pdf,United Kingdom of Great Britain and Northern Ireland
src_BLmGaX,Angola,Total Sa,Block 17,Production entitlements,2015,154e7,22205e5,0.6935374915559559,http://www.total.com/sites/default/files/atoms/files/registration_document_2015.pdf,United Kingdom of Great Britain and Northern Ireland
src_WZWJaX,Angola,Total Sa,Block 17,Production entitlements,2016,962e6,135594e4,0.7094709205422068,https://www.total.com/sites/default/files/atoms/files/ddr2016_va_web.pdf,United Kingdom of Great Britain and Northern Ireland
src_BLmGaX,Angola,Total Sa,Block 17,Taxes,2015,661e6,22205e5,0.297680702544472,http://www.total.com/sites/default/files/atoms/files/registration_document_2015.pdf,United Kingdom of Great Britain and Northern Ireland
src_WZWJaX,Angola,Total Sa,Block 17,Taxes,2016,387e6,135594e4,0.2854108588875614,https://www.total.com/sites/default/files/atoms/files/ddr2016_va_web.pdf,United Kingdom of Great Britain and Northern Ireland
src_BLmGaX,Angola,Total Sa,Block 25,Fees,2015,171e3,5171e3,0.03306903887062464,http://www.total.com/sites/default/files/atoms/files/registration_document_2015.pdf,United Kingdom of Great Britain and Northern Ireland
src_BLmGaX,Angola,Total Sa,Block 25,Payments for infrastructure improvements,2015,5e6,5171e3,0.9669309611293754,http://www.total.com/sites/default/files/atoms/files/registration_document_2015.pdf,United Kingdom of Great Britain and Northern Ireland
src_BLmGaX,Angola,Total Sa,Block 39,Fees,2015,214e3,3084e3,0.06939040207522698,http://www.total.com/sites/default/files/atoms/files/registration_document_2015.pdf,United Kingdom of Great Britain and Northern Ireland
src_BLmGaX,Angola,Total Sa,Block 39,Payments for infrastructure improvements,2015,287e4,3084e3,0.930609597924773,http://www.total.com/sites/default/files/atoms/files/registration_document_2015.pdf,United Kingdom of Great Britain and Northern Ireland
src_WZWJaX,Angola,Total Sa,Block 39,Payments for infrastructure improvements,2016,154e4,154e4,1,https://www.total.com/sites/default/files/atoms/files/ddr2016_va_web.pdf,United Kingdom of Great Britain and Northern Ireland
src_BLmGaX,Angola,Total Sa,Block 40,Fees,2015,207e3,5917e3,0.0349839445665033,http://www.total.com/sites/default/files/atoms/files/registration_document_2015.pdf,United Kingdom of Great Britain and Northern Ireland
src_BLmGaX,Angola,Total Sa,Block 40,Payments for infrastructure improvements,2015,571e4,5917e3,0.9650160554334967,http://www.total.com/sites/default/files/atoms/files/registration_document_2015.pdf,United Kingdom of Great Britain and Northern Ireland
src_KA2NVA,Argentina,Basf,Cuenca Austral Basin,Royalties,2016,48985665.4799189,48985665.4799189,1,https://www.basf.com/documents/corp/en/investor-relations/basf-at-a-glance/corporate-governance/BASF-Group_Payment-Report-2017.pdf,Germany
src_KA2NVA,Argentina,Basf,Neuquen Basin,Royalties,2016,19246591.19579315,19246591.19579315,1,https://www.basf.com/documents/corp/en/investor-relations/basf-at-a-glance/corporate-governance/BASF-Group_Payment-Report-2017.pdf,Germany
src_KXN15A,Argentina,Basf Se,Cuenca Austral Basin,Fees,2016,48985665.4799189,48985665.4799189,1,https://www.bundesanzeiger.de/ebanzwww/wexsservlet?global_data.language=en&session.sessionid=50e99e4313a07ebe18f6bb8569b0a881&page.navid=gotolastpage,Germany
src_KXN15A,Argentina,Basf Se,Neuquen Basin,Fees,2016,19246591.19579315,19246591.19579315,1,https://www.bundesanzeiger.de/ebanzwww/wexsservlet?global_data.language=en&session.sessionid=50e99e4313a07ebe18f6bb8569b0a881&page.navid=gotolastpage,Germany
src_4AeOQZ,Argentina,Crown Point Energy Inc,Tierra Del Fuego,Production entitlements,2016,241436.61376,2180474.41802,0.1107266435986159,http://crownpointenergy.com/wp-content/uploads/2017/05/CWV-2016-ESTMA.pdf,Canada
src_4AeOQZ,Argentina,Crown Point Energy Inc,Tierra Del Fuego,Royalties,2016,1939037.8042600001,2180474.41802,0.889273356401384,http://crownpointenergy.com/wp-content/uploads/2017/05/CWV-2016-ESTMA.pdf,Canada
src_WZWJaX,Argentina,Total Sa,Tierra Del Fuego,Fees,2016,372e4,5172e4,0.07192575406032482,https://www.total.com/sites/default/files/atoms/files/ddr2016_va_web.pdf,United Kingdom of Great Britain and Northern Ireland
src_WZWJaX,Argentina,Total Sa,Tierra Del Fuego,Taxes,2016,48e6,5172e4,0.9280742459396751,https://www.total.com/sites/default/files/atoms/files/ddr2016_va_web.pdf,United Kingdom of Great Britain and Northern Ireland
src_dAk8wX,Australia,Aurico Metals Inc,Fosterville,Taxes,2016,981848.768198956,981848.768198956,1,http://s2.q4cdn.com/215682844/files/doc_downloads/2017/AMI-2016-ESTMA-Report-Final.pdf,Canada
src_aAOqvZ,Australia,Bhp Billiton Limited,Hail Creek,Fees,2016,36e5,4536e5,0.007936507936507936,http://www.bhp.com/-/media/documents/investors/annual-reports/2017/bhpeconomiccontributionreport2017.pdf,United Kingdom of Great Britain and Northern Ireland
src_aAOqvZ,Australia,Bhp Billiton Limited,Hail Creek,Royalties,2016,637e6,4536e5,1.404320987654321,http://www.bhp.com/-/media/documents/investors/annual-reports/2017/bhpeconomiccontributionreport2017.pdf,United Kingdom of Great Britain and Northern Ireland
src_aAOqvZ,Australia,Bhp Billiton Limited,Hail Creek,Taxes,2016,-187e6,4536e5,-0.4122574955908289,http://www.bhp.com/-/media/documents/investors/annual-reports/2017/bhpeconomiccontributionreport2017.pdf,United Kingdom of Great Britain and Northern Ireland
src_aAOqvZ,Australia,Bhp Billiton Limited,North West Shelf,Fees,2016,3e5,3032e5,9.894459102902375e-4,http://www.bhp.com/-/media/documents/investors/annual-reports/2017/bhpeconomiccontributionreport2017.pdf,United Kingdom of Great Britain and Northern Ireland
src_aAOqvZ,Australia,Bhp Billiton Limited,North West Shelf,Other,2016,-1e5,3032e5,-3.2981530343007914e-4,http://www.bhp.com/-/media/documents/investors/annual-reports/2017/bhpeconomiccontributionreport2017.pdf,United Kingdom of Great Britain and Northern Ireland
src_aAOqvZ,Australia,Bhp Billiton Limited,North West Shelf,Royalties,2016,112e6,3032e5,0.36939313984168864,http://www.bhp.com/-/media/documents/investors/annual-reports/2017/bhpeconomiccontributionreport2017.pdf,United Kingdom of Great Britain and Northern Ireland
src_aAOqvZ,Australia,Bhp Billiton Limited,North West Shelf,Taxes,2016,191e6,3032e5,0.6299472295514512,http://www.bhp.com/-/media/documents/investors/annual-reports/2017/bhpeconomiccontributionreport2017.pdf,United Kingdom of Great Britain and Northern Ireland
src_mZlv7A,Australia,Bhp Billiton Plc,Hail Creek,Fees,2015,5718711,266610808,0.021449659310135694,https://extractives.companieshouse.gov.uk/company/03196209/year/2016/version/1/zip,United Kingdom of Great Britain and Northern Ireland
src_mZlv7A,Australia,Bhp Billiton Plc,Hail Creek,Royalties,2015,333895188,266610808,1.2523692887949238,https://extractives.companieshouse.gov.uk/company/03196209/year/2016/version/1/zip,United Kingdom of Great Britain and Northern Ireland
src_mZlv7A,Australia,Bhp Billiton Plc,Hail Creek,Taxes,2015,-73003091,266610808,-0.2738189481050596,https://extractives.companieshouse.gov.uk/company/03196209/year/2016/version/1/zip,United Kingdom of Great Britain and Northern Ireland
src_mZlv7A,Australia,Bhp Billiton Plc,North West Shelf,Fees,2015,103561,368176080,2.812811739426418e-4,https://extractives.companieshouse.gov.uk/company/03196209/year/2016/version/1/zip,United Kingdom of Great Britain and Northern Ireland
src_mZlv7A,Australia,Bhp Billiton Plc,North West Shelf,Royalties,2015,100029891,368176080,0.2716903580482469,https://extractives.companieshouse.gov.uk/company/03196209/year/2016/version/1/zip,United Kingdom of Great Britain and Northern Ireland
src_mZlv7A,Australia,Bhp Billiton Plc,North West Shelf,Taxes,2015,268042628,368176080,0.7280283607778104,https://extractives.companieshouse.gov.uk/company/03196209/year/2016/version/1/zip,United Kingdom of Great Britain and Northern Ireland
src_JLoNNZ,Australia,Bp Plc,North West Shelf,Royalties,2015,129922977,176652930,0.735470263640688,https://extractives.companieshouse.gov.uk/company/00102498/year/2015/version/1/zip,United Kingdom of Great Britain and Northern Ireland
src_dAgKYA,Australia,Bp Plc,North West Shelf,Royalties,2016,107056084,149003118,0.718482172970367,https://extractives.companieshouse.gov.uk/company/00102498/year/2016/version/1/zip,United Kingdom of Great Britain and Northern Ireland
src_JLoNNZ,Australia,Bp Plc,North West Shelf,Taxes,2015,46729953,176652930,0.26452973635931204,https://extractives.companieshouse.gov.uk/company/00102498/year/2015/version/1/zip,United Kingdom of Great Britain and Northern Ireland
src_dAgKYA,Australia,Bp Plc,North West Shelf,Taxes,2016,41947034,149003118,0.281517827029633,https://extractives.companieshouse.gov.uk/company/00102498/year/2016/version/1/zip,United Kingdom of Great Britain and Northern Ireland
