<<<<<<< HEAD
Unit,multiplier,measure,quarter_end,value,project,year
 ,Actual,Gold (ounces) produced,3/31/12,498200,Total,2012
 ,Actual,Silver (ounces) produced,3/31/12,6618500,Total,2012
 ,Thousand,Copper (thousands of pounds) produced,3/31/12,24100,Total,2012
 ,Thousand,Lead (thousands of pounds) produced,3/31/12,39200,Total,2012
 ,Thousand,Zinc (thousands of pounds) produced,3/31/12,63800,Total,2012
 ,Actual,Gold (ounces) sold,3/31/12,519300,Total,2012
$,Actual,Average realized gold price (per ounce),3/31/12,1708,Total,2012
$,Actual,All-in sustaining costs $/oz (per gold ounce) (from continuing operations),3/31/12,807,Total,2012
$,Actual,By-product cash costs $/oz (per gold ounce) (from continuing operations),3/31/12,251,Total,2012
$,Actual,Co-product cash costs $/oz (per gold ounce) (from continuing operations),3/31/12,648,Total,2012
$,Million,Revenues (GAAP),3/31/12,1166,Total,2012
$,Million,Net (Loss) Earnings,3/31/12,479,Total,2012
 ,Actual,Tonnes of ore mined,3/31/12,220100,Red Lake,2012
 ,Actual,Average mill head grade (Au grams/tonne),3/31/12,16.32,Red Lake,2012
 ,Actual,Average gold recovery rate %,3/31/12,0.96,Red Lake,2012
 ,Actual,Gold (ounces) produced,3/31/12,114200,Red Lake,2012
 ,Actual,Gold (ounces) sold,3/31/12,114800,Red Lake,2012
$,Actual,By-product cash costs (per gold ounce),3/31/12,523,Red Lake,2012
$,Million,Revenues (millions),3/31/12,195,Red Lake,2012
$,Million,Depreciation and depletion (millions),3/31/12,18,Red Lake,2012
$,Million,Earnings from operations (millions),3/31/12,112,Red Lake,2012
$,Million,Expenditures on mining interests (millions),3/31/12,61,Red Lake,2012
 ,Actual,Tonnes of ore milled,3/31/12,1017800,Porcupine,2012
 ,Actual,Average mill head grade (Au grams/tonne),3/31/12,2.07,Porcupine,2012
 ,Actual,Average gold recovery rate %,3/31/12,0.92,Porcupine,2012
 ,Actual,Gold (ounces) produced,3/31/12,60700,Porcupine,2012
 ,Actual,Gold (ounces) sold,3/31/12,60500,Porcupine,2012
$,Actual,By-product cash costs (per gold ounce),3/31/12,786,Porcupine,2012
$,Million,Revenues (millions),3/31/12,103,Porcupine,2012
$,Million,Depreciation and depletion (millions),3/31/12,13,Porcupine,2012
$,Million,Earnings from operations (millions),3/31/12,39,Porcupine,2012
$,Million,Expenditures on mining interests (millions),3/31/12,22,Porcupine,2012
 ,Actual,Tonnes of ore milled,3/31/12,327400,Musselwhite,2012
 ,Actual,Average mill head grade (Au grams/tonne),3/31/12,5.43,Musselwhite,2012
 ,Actual,Average gold recovery rate %,3/31/12,0.96,Musselwhite,2012
 ,Actual,Gold (ounces) produced,3/31/12,53200,Musselwhite,2012
 ,Actual,Gold (ounces) sold,3/31/12,55800,Musselwhite,2012
$,Actual,By-product cash costs (per gold ounce),3/31/12,844,Musselwhite,2012
$,Million,Revenues (millions),3/31/12,94,Musselwhite,2012
$,Million,Depreciation and depletion (millions),3/31/12,10,Musselwhite,2012
$,Million,Earnings from operations (millions),3/31/12,31,Musselwhite,2012
$,Million,Expenditures on mining interests (millions),3/31/12,19,Musselwhite,2012
 ,Actual,Tonnes of ore mined,3/31/12,8224800,Penasquito,2012
 ,Actual,Tonnes of waste removed,3/31/12,32225155,Penasquito,2012
 ,Actual,Average head grade (Au grams/tonne),3/31/12,0.36,Penasquito,2012
 ,Actual,Average head grade (Ag grams/tonne),3/31/12,24.84,Penasquito,2012
 ,Actual,Average head grade (Pb%),3/31/12,0.0031,Penasquito,2012
 ,Actual,Average head grade (Zn%),3/31/12,0.0056,Penasquito,2012
 ,Actual,Sulphide Ore - Tonnes of ore milled,3/31/12,8393100,Penasquito,2012
 ,Actual,Gold average recovery rate (%),3/31/12,0.64,Penasquito Sulphide,2012
 ,Actual,Silver average recovery rate (%),3/31/12,0.75,Penasquito Sulphide,2012
 ,Actual,Lead average recovery rate (%),3/31/12,0.73,Penasquito Sulphide,2012
 ,Actual,Zinc average recovery rate (%),3/31/12,0.72,Penasquito Sulphide,2012
 ,Actual,Gold (ounces) produced,3/31/12,68600,Penasquito,2012
 ,Actual,Silver (ounces) produced,3/31/12,4955400,Penasquito,2012
 ,Thousand,Lead (thousands of pounds) produced,3/31/12,39200,Penasquito,2012
 ,Thousand,Zinc (thousands of pounds) produced,3/31/12,63800,Penasquito,2012
 ,Actual,Gold (ounces) sold,3/31/12,87500,Penasquito,2012
 ,Actual,Silver (ounces) sold,3/31/12,7045000,Penasquito,2012
 ,Thousand,Lead (thousands of pounds) sold,3/31/12,52400,Penasquito,2012
 ,Thousand,Zinc (thousands of pounds) sold,3/31/12,75900,Penasquito,2012
$,Actual,By-product cash costs (per gold ounce),3/31/12,-751,Penasquito,2012
$,Actual,General admistrative cost per tonne,3/31/12,1.89,Penasquito,2012
$,Million,Revenues (millions),3/31/12,419,Penasquito,2012
$,Million,Depreciation and depletion (millions),3/31/12,50,Penasquito,2012
$,Million,Earnings (Loss) from operations (millions),3/31/12,169,Penasquito,2012
$,Million,Expenditures on mining interests (millions),3/31/12,72,Penasquito,2012
 ,Actual,Tonnes of ore mined,3/31/12,7391100,Los Filos,2012
 ,Actual,Tonnes of waste removed,3/31/12,10368400,Los Filos,2012
 ,Actual,Ratio of waste to ore,3/31/12,1.4,Los Filos,2012
 ,Actual,Tonnes of ore processed,3/31/12,7404300,Los Filos,2012
 ,Actual,Average grade processed (Au grams/tonne),3/31/12,0.7,Los Filos,2012
 ,Actual,Average gold recovery rate %,3/31/12,0.47,Los Filos,2012
 ,Actual,Gold (ounces) produced,3/31/12,82700,Los Filos,2012
 ,Actual,Gold (ounces) sold,3/31/12,82900,Los Filos,2012
$,Actual,By-product cash costs (per gold ounce),3/31/12,521,Los Filos,2012
$,Million,Revenues (millions),3/31/12,141,Los Filos,2012
$,Million,Depreciation and depletion (millions),3/31/12,11,Los Filos,2012
$,Million,Earnings from operations (millions),3/31/12,86,Los Filos,2012
$,Million,Expenditures on mining interests (millions),3/31/12,17,Los Filos,2012
 ,Actual,Tonnes of ore milled,3/31/12,477900,Marlin,2012
 ,Actual,Average mill head grade (Au grams/tonne),3/31/12,3.49,Marlin,2012
 ,Actual,Average mill head grade (Ag grams/tonne),3/31/12,118,Marlin,2012
 ,Actual,Average gold recovery rate %,3/31/12,0.96,Marlin,2012
 ,Actual,Average silver recovery rate %,3/31/12,0.9,Marlin,2012
 ,Actual,Gold (ounces) produced,3/31/12,53200,Marlin,2012
 ,Actual,Silver (ounces) produced,3/31/12,1663100,Marlin,2012
 ,Actual,Gold (ounces) sold,3/31/12,54000,Marlin,2012
 ,Actual,Silver (ounces) sold,3/31/12,1669000,Marlin,2012
$,Actual,By-product cash costs (per gold ounce),3/31/12,-187,Marlin,2012
$,Million,Revenues (millions),3/31/12,145,Marlin,2012
$,Million,Depreciation and depletion (millions),3/31/12,21,Marlin,2012
$,Million,Earnings from operations (millions),3/31/12,78,Marlin,2012
$,Million,Expenditures on mining interests (millions),3/31/12,23,Marlin,2012
 ,Actual,Tonnes of ore mined,3/31/12,2311700,Alumbrera,2012
 ,Actual,Tonnes of waste removed,3/31/12,5394500,Alumbrera,2012
 ,Actual,Ratio of waste to ore,3/31/12,2.3,Alumbrera,2012
 ,Actual,Tonnes of ore milled,3/31/12,3499900,Alumbrera,2012
 ,Actual,Average mill head grade (Au grams/tonne),3/31/12,0.36,Alumbrera,2012
 ,Actual,Average mill head grade (Copper %),3/31/12,0.0039,Alumbrera,2012
 ,Actual,Average gold recovery rate %,3/31/12,0.67,Alumbrera,2012
 ,Actual,Average copper recovery rate %,3/31/12,0.79,Alumbrera,2012
 ,Actual,Gold (ounces) produced,3/31/12,27600,Alumbrera,2012
 ,Thousand,Copper (thousands of pounds) produced,3/31/12,24100,Alumbrera,2012
 ,Actual,Gold (ounces) sold,3/31/12,24700,Alumbrera,2012
 ,Thousand,Copper (thousands of pounds) sold,3/31/12,21600,Alumbrera,2012
$,Actual,By-product cash costs (per gold ounce),3/31/12,-1131,Alumbrera,2012
$,Million,Revenues (millions),3/31/12,138,Alumbrera,2012
$,Million,Depreciation and depletion (millions),3/31/12,17,Alumbrera,2012
$,Million,Earnings from operations (millions),3/31/12,51,Alumbrera,2012
$,Million,Expenditures on mining interests (millions),3/31/12,3,Alumbrera,2012
 ,Actual,Tonnes of ore mined,3/31/12,1713200,Marigold,2012
 ,Actual,Tonnes of waste removed,3/31/12,6785400,Marigold,2012
 ,Actual,Tonnes of ore processed,3/31/12,1713200,Marigold,2012
 ,Actual,Average grade processed (Au grams/tonne),3/31/12,0.65,Marigold,2012
 ,Actual,Average gold recovery rate %,3/31/12,0.73,Marigold,2012
 ,Actual,Gold (ounces) produced,3/31/12,26500,Marigold,2012
 ,Actual,Gold (ounces) sold,3/31/12,26400,Marigold,2012
