propertyName,country,commodity,typeOfWork,status,extentOfProcessing,bestReserveAvailable,reservesTonnes000Units,reserveGrade,reserveGradeUnit,currentProduction,currentProductionUnit,expectedYearlyProductionAtFullCapacity,expectedProductionAtFullCapacityUnit,lifeOfMineYears,projectInceptionYear,projectCompletionYear,companyName,expectedInvestmentMm,probabilityToMoveToInvestmentBy2020,powerSourcingArrangementOrRelationshipBetweenMineAndGrid,sourceOfPower,energyConsumptionKwhTProduct,annualEnergyConsumptionMwh,energyNeedsMw,shareholdingCode,mineLocation,locationNotes,region,tariffPublicUtility,costRelativity,gridEnergySource,gridReliability,source,notes,reference,projectsPre2000,projects20012012,projects2020,repeats
Boseto / Kalahari / Ophion,Botswana,Copper,Open-Pit/Underground,Development,intermediate,Indicated Reserves,21200,1.45,%,NA,NA,35000,tons,15,2013,2028,Discovery Metals Ltd (100%),175,high,Self-supply,On-Site Coal,7000,245000,25.52,Sole Ownership by a private company,NA,Muan (Ngamiland district),SA,6.7,above tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,Ore processed to concentrate; 3MM tonnum ore production,"Infomine, Company Website",No,No,Yes,TRUE
Boseto / Kalahari / Ophion,Botswana,Silver,Open-Pit/Underground,Development,refined,Indicated Reserves,21200,19.05,grams,NA,NA,1000000,ounce,15,2013,2028,Discovery Metals Ltd (100%),175,high,Self-supply,On-Site Coal,9645,273,0.03,Sole Ownership by a private company,NA,Muan (Ngamiland district),SA,6.7,above tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,Ore processed to concentrate; 3MM tonnum ore production,"Infomine, Company Website",No,No,Yes,TRUE
Phoenix Mine (Tati Nickel),Botswana,Nickel from N-C Sulphide,Open-Pit,Producer,intermediate,Proven Reserves,111800,0.22,%,9346,tons,120000,tons,20,1995,2015,"Norilsk Nickel (85%), Botswana Govt (15%)",NA,closed by 2020,Grid supply,On-Grid,300,36000,3.75,Joint- venture with State Equity,"(-21.2, 27.7666667)",NA,SA,6.7,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,"The survey shows that by 2009/10, the power consumption at peak load from Tati Nickel would have doubled amid the power crisis that has engulfed the country. Currently at peak load, the mines use 39 mega watts (MW) of power and next year they will require 81 MW. Current ore depleted but new exploration projects will likely produce by 2020","Infomine, Company Website, Publications",Yes,Yes,No,TRUE
Phoenix Mine (Tati Nickel),Botswana,Copper,Open-Pit,Producer,intermediate,Proven Reserves,111800,0.18,%,7872,tons,17185,tons,20,1995,2015,"Norilsk Nickel (85%), Botswana Govt (15%)",NA,closed by 2020,Grid supply,On-Grid,5000,85925,8.95,Joint- venture with State Equity,"(-21.2, 27.7666667)",NA,SA,6.7,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,"The survey shows that by 2009/10, the power consumption at peak load from Tati Nickel would have doubled amid the power crisis that has engulfed the country. Currently at peak load, the mines use 39MW of power and next year they will require 81 MW; Current ore depleted but new exploration projects will likely produce by 2020. For full production IM's highest production historical year has been used","Infomine, Company Website, Publications",Yes,Yes,No,TRUE
Selkrik Mine,Botswana,Nickel,Underground,Temporary Suspension,intermediate,Inferred Resources,11300,0.27,%,11644,tons,60000,tons,13,1989,2002,"Norilsk Nickel (85%), Botswana Govt (15%)",NA,low,Grid supply,On-Grid,6600,396000,41.25,Joint- venture with State Equity,"(-21.2166667, 27.65)",NA,SA,6.7,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,"The survey shows that by 2009/10, the power consumption at peak load from Tati Nickel would have doubled amid the power crisis that has engulfed the country. Currently at peak load, the mines use 39 mega watts (MW) of power and next year they will require 81 MW. Current ore depleted but new exploration projects will likely produce by 2020","Infomine, Company Website, Publications",Yes,Yes,No,TRUE
Selkrik Mine,Botswana,Gold,Underground,Temporary Suspension,refined,Inferred Resources,11300,0.56,grams,20839,grams,735,ounce,13,1989,2002,"Norilsk Nickel (85%), Botswana Govt (15%)",NA,low,Grid supply,On-Grid,45000000,938,0.1,Joint- venture with State Equity,"(-21.2166667, 27.65)",NA,SA,6.7,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,Very little evidence that there is any future plans to mine outside of Ni and Cu,"Infomine, Company Website, Publications",Yes,Yes,No,TRUE
Alucam,Cameroon,Aluminum,Plant,Producer,smelted,None,NA,NA,NA,9e4,tons,90000,tons,NA,1960,2050,"Government Of Cameroon 46.67%, Rio Tinto Alcan 46.67%, AFD 5.6% And Employees 1.1%",NA,high,Grid supply,On-Grid,15500,1395000,145.31,Joint- venture with State Equity,"(3.8, 10.1333333)",NA,CA,16,equal tariff,Mainly Hydro Powered Generation,0 to 50 days,WB,"Cross-subsidized by low and medium voltage customers, RTA’s Alumnium Smelter Alucam historically received power at a subsidized rate of US$0.015/kWh under a 30 year PPA that expired in 2009. Under a new long-term PPA with AES-SONEL in effect since January 2010, Alucam’s average electricity tariff for up to a maximum of 250 MW is CFA 12.94/kWh (US$0.028/kWh equivalent) (US$0.025/kWh global average) before indexation for inflation.",http://siteresources.worldbank.org/INTCAMEROON/Resources/LPHP-PAD-Mar2012.pdf,Yes,Yes,Yes,TRUE
Alucam,Cameroon,Aluminum,Plant,Advanced Exploration,smelted,None,NA,NA,NA,NA,NA,210000,tons,NA,2017,NA,Rio Tinto,2e3,low,Self-supply + sell to the grid,On-site Hydro,15500,3255000,339.06,Sole Ownership by a private company,"(3.8, 10.1333333)",NA,CA,16,below tariff,Mainly Hydro Powered Generation,0 to 50 days,WB,"In October 2005, Rio Tinto Alcan signed a memorandum of understanding with the Government of Cameroon, which was then amended in November 2007, to provide for the expansion of the Alucam smelter and development and construction of a greenfield aluminium smelter. Under the agreed upon terms, Alucam, a joint venture in which Rio Tinto Alcan owns a 47 per cent interest, would build a 300 MW power dam and a 200,000 tonne per year expansion of the existing smelter. In addition, a 930MW power dam would be developed together with a 400,000 tonne per year greenfield aluminium smelter by Rio Tinto Alcan on a 100 per cent basis. The expansion and the greenfield smelter are at different stages of development, but when completed both would be positioned in the first half of the industry cost curve.",Company Website,No,No,Yes,TRUE
Mada/ Nkamouna,Cameroon,Cobalt,Open-Pit,Feasibility,intermediate,Inferred Resources,145100,0.21,%,NA,NA,6100,tons,24,2014,2038,Geovic Mining Corp,839,high,Self-supply,On-Site Diesel,6500,39650,4.13,Sole Ownership by a private company,"(3.3333333, 13.8333333)",NA,CA,16,above tariff,Mainly Hydro Powered Generation,0 to 50 days,Infomine,"All power will be generated on site with no connection to the utility. It is expected that the power supply for the overall Project will be supplied utilizing high speed diesel powered generators. Based on the mining, processing and related project requirements described, GeoCam envisages production rates during the mining years (years 1 to 11) ramping up to about 15,000 t/y of mixed cobalt-nickel sulfide product (MSP) and 30,000 t/y of manganese carbonate. Cobalt and nickel derived from the MSP will be about 6,100 t/y and 3,200 t/y, respectively. These production rates will gradually drop off during the processing-only phase from years 12 to 24 after the mining phase is completed if additional resources are not identified during that time to supplement the existing resource base","Infomine, Technical Report 2011",No,No,Yes,TRUE
Mada/ Nkamouna,Cameroon,Nickel,Open-Pit,Feasibility,intermediate,Inferred Resources,145100,0.48,%,NA,NA,3200,tons,24,2014,2038,Geovic Mining Corp,839,high,Self-supply,On-Site Diesel,5600,17920,1.87,Sole Ownership by a private company,"(3.3333333, 13.8333333)",NA,CA,16,above tariff,Mainly Hydro Powered Generation,0 to 50 days,Infomine,"All power will be generated on site with no connection to the utility. It is expected that the power supply for the overall Project will be supplied utilizing high speed diesel powered generators. Based on the mining, processing and related Project requirements described, GeoCam envisages production rates during the mining years (years 1 to 11) ramping up to about 15,000 t/y of mixed cobalt-nickel sulfide product (MSP) and 30,000 t/y of manganese carbonate. Cobalt and nickel derived from the MSP will be about 6,100 t/y and 3,200 t/y, respectively. These production rates will gradually drop off during the processing-only phase from years 12 to 24 after the mining phase is completed if additional resources are not identified during that time to supplement the existing resource base","Infomine, Technical Report 2011",No,No,Yes,TRUE
Kakanda / Kambove Tailings,"Congo, Dem. Rep. of",Copper,Tailings,Past Producer,intermediate,Inferred Resources,11300,3.14,%,NA,NA,45000,tons,15,1982,1997,Gecamines,240,closed,Mines invest in the grid,On-Grid,5000,225000,23.44,Sole ownership by the State-Owned Company,"(-10.85, 26.6166667)",NA,CA,4.7,equal tariff,Mainly Hydro Powered Generation,150 to 200 days,Infomine,"Kambove abandoned (from Greenock 2008 Kakanda feasibility study):By early 1997 it was evident the Kambove tailings dump could not be treated economically. As a result, it was agreed, between Gécamines and IPRC, during a meeting in April, 1997 toabandon the Kambove tailings. As an alternative, Gécamines provided two hard rock resources at Kakanda, the dormant Kakanda South and North open pit operations.",http://www.thefreelibrary.com/Int%27l+Panorama+-+Pre-Feasibility+Study+Completed+on+Congo-Zaire...-a019454855,Yes,No,No,TRUE
Kakanda / Kambove Tailings,"Congo, Dem. Rep. of",Cobalt,Tailings,Past Producer,intermediate,Inferred Resources,11300,0.19,%,NA,NA,3500,tons,15,1982,1997,Gecamines,240,closed,Mines invest in the grid,On-Grid,6500,22750,2.37,Sole ownership by the State-Owned Company,"(-10.85, 26.6166667)",NA,CA,4.7,equal tariff,Mainly Hydro Powered Generation,150 to 200 days,Infomine,"Kambove abandoned (from Greenock 2008 Kakanda feasibility study):By early 1997 it was evident the Kambove tailings dump could not be treated economically. As a result, it was agreed, between Gécamines and IPRC, during a meeting in April, 1997 to abandon the Kambove tailings. As an alternative, Gécamines provided two hard rock resources at Kakanda, the dormant Kakanda South and North open pit operations.",NA,Yes,No,No,TRUE
Kakanda North/South,"Congo, Dem. Rep. of",Cobalt,Surface,Past Producer,intermediate,Indicated Reserves,18500,0.15,%,NA,NA,3500,tons,7,NA,NA,"Greenock Resources Inc. (70%), Gecamines (30%)",900,closed,Grid supply,On-Grid,6500,22750,2.37,Joint- venture with State Equity,"(-10.7666667, 26.1666667)",NA,CA,4.7,equal tariff,Mainly Hydro Powered Generation,150 to 200 days,Infomine,"Project development stalled due to ownership claim dispute between Greenock and third parties. Power: supplied by state authority, annual consumption 25 MWh. Sufficient power for a mining/milling operation (200kV, 50 Hertz, 3-phase) is available from an existing National Electricity Commission (“SNEL”) substation situated at the Kakanda mine site. $2.42/t power cost","Infomine, Company Website, Publications",No,Yes,No,TRUE
Kakanda North/South,"Congo, Dem. Rep. of",Copper,Surface,Advanced Exploration,intermediate,Indicated Reserves,18500,1.2,%,NA,NA,53000,tons,7,NA,NA,"Greenock Resources Inc. (70%), Gecamines (30%)",900,low,Grid supply,On-Grid,5000,265000,27.6,Joint- venture with State Equity,"(-10.7666667, 26.1666667)",NA,CA,4.7,equal tariff,Mainly Hydro Powered Generation,150 to 200 days,Infomine,"Project development stalled due to ownership claim dispute between Greenock and third parties. Power: supplied by state authority, annual consumption 25 MWh. Sufficient power for a mining/milling operation (200kV, 50 Hertz, 3-phase) is available from an existing National Electricity Commission (“SNEL”) substation situated at the Kakanda mine site. $2.42/t power cost","Infomine, Company Website, Publications",No,No,Yes,TRUE
Kalukundi,"Congo, Dem. Rep. of",Cobalt,Open-Pit/Underground,Feasibility,intermediate,Inferred Resources,15020,0.57,%,NA,NA,3800,tons,7,2013,2020,"Africo Resources Ltd (75%), Gecamines (25%)",200,high,Grid supply,On-Grid,7000,26600,2.77,Joint- venture with State Equity,"(-10.6166667, 25.9)",NA,CA,4.7,equal tariff,Mainly Hydro Powered Generation,150 to 200 days,Infomine,"As initial ore will be oxide ore, solvent extraction and electro-winning technology will be used to produce final metal with no smelting and refining required.","Infomine, Mining Weekly, Company Website",No,No,Yes,TRUE
Kalukundi,"Congo, Dem. Rep. of",Copper,Open-Pit/Underground,Feasibility,intermediate,Inferred Resources,15020,2.63,%,NA,NA,16400,tons,7,2013,2020,"Africo Resources Ltd (75%), Gecamines (25%)",200,high,Grid supply,On-Grid,7000,114800,11.96,Joint- venture with State Equity,"(-10.6166667, 25.9)",NA,CA,4.7,equal tariff,Mainly Hydro Powered Generation,150 to 200 days,Infomine,"As initial ore will be oxide ore, solvent extraction and electro-winning technology will be used to produce final metal with no smelting and refining required.","Infomine, Mining Weekly, Company Website",No,No,Yes,TRUE
Kamoto (Katanga),"Congo, Dem. Rep. of",Cobalt,Underground,Producer,intermediate,Proven Reserves,13000,0.51,%,2372,tons,9900,tons,44,2007,2030,"Katanga Mining Limited (75%), Gecamines (25%)",NA,high,Mines invest in the grid,On-Grid,7000,69300,7.22,Joint- venture with State Equity,"(-9.9, 28.25)",NA,CA,4.7,equal tariff,Mainly Hydro Powered Generation,150 to 200 days,Infomine,First run was 1969-1990. Production and LOM numbers include planned expansinon of Kamoto Underground (KTO). Co-invests with Société Nationale d’Electricité (SNEL) to increase power availability as well as refurburish hydroelectric facility in Katanga Province by 2015.  (Max output over projected life),"Infomine, Company Website",No,Yes,Yes,TRUE
Kamoto (Katanga),"Congo, Dem. Rep. of",Copper,Underground,Producer,intermediate,Proven Reserves,13000,3.43,%,175188,tons,75000,tons,44,2007,2030,"Katanga Mining Limited (75%), Gecamines (25%)",NA,high,Mines invest in the grid,On-Grid,7000,525000,54.69,Joint- venture with State Equity,"(-9.9, 28.25)",NA,CA,4.7,equal tariff,Mainly Hydro Powered Generation,150 to 200 days,Infomine,First run was 1969-1990. Production and LOM numbers include planned expansinon of Kamoto Underground (KTO). Co-invests with Société Nationale d’Electricité (SNEL) to increase power availability as well as refurburish hydroelectric facility in Katanga Province by 2015.  (Max output over projected life),"Infomine, Company Website",No,Yes,Yes,TRUE
Kananga (Dcp),"Congo, Dem. Rep. of",Cobalt,Open-Pit,Past Producer,intermediate,Indicated Reserves,4100,0.79,%,NA,NA,5688,tons,10,2004,2006,"Katanga Mining Limited (75%), Gecamines (25%)",NA,closed,Mines invest in the grid,On-Grid,6500,36972,3.85,Joint- venture with State Equity,"(-10.6666667, 25.4666667)",NA,CA,4.7,equal tariff,Mainly Hydro Powered Generation,150 to 200 days,Infomine,Operations ceased due to relocation of railway. Co-invests with Société Nationale d’Electricité (SNEL) to increase power availability as well as refurburish hydroelectric facility in Katanga Province by 2015,"Infomine, Company Website",No,Yes,No,TRUE
Kananga (Dcp),"Congo, Dem. Rep. of",Copper,Open-Pit,Past Producer,intermediate,Indicated Reserves,4100,1.61,%,NA,NA,11600,tons,10,2004,2006,"Katanga Mining Limited (75%), Gecamines (25%)",NA,closed,Mines invest in the grid,On-Grid,5000,58000,6.04,Joint- venture with State Equity,"(-10.6666667, 25.4666667)",NA,CA,4.7,equal tariff,Mainly Hydro Powered Generation,150 to 200 days,Infomine,Operations ceased due to relocation of railway;Co-invests with Société Nationale d’Electricité (SNEL) to increase power availability as well as refurburish hydroelectric facility in Katanga Province by 2015. (Production estimated using planned ore production and grade),"Infomine, Company Website",No,Yes,No,TRUE
