sourceID,reportingCompany,reportingCountry,sourceURL,format,reportStartDate,reportEndDate,sourcePublishDate,reportYear
a2175aa628f16d40d57fa445953a0e5b,Rio Tinto Canada Incorporated,United Kingdom of Great Britain and Northern Ireland,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report-a2175aa628f16d40d57fa445953a0e5b,.pdf,2017-1-1,2017-12-31,2018-6-22,2017
9d2c66873d67dd662c225ec27d9e842e,A.P. Moller-Maersk Group,Denmark,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report9d2c66873d67dd662c225ec27d9e842e,.html,2016-1-1,2016-12-31,2017-1-1,2016
c7a4ce5024818965e6d0cdf3487d578c,A.P. Moller-Maersk Group,Denmark,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-reportc7a4ce5024818965e6d0cdf3487d578c,.html,2017-1-1,2017-12-31,2018-1-1,2017
2a11ac76612bc2c0142e06743d86ef5b,Aalborg Portland Holding A/S,Denmark,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report-2a11ac76612bc2c0142e06743d86ef5b,.pdf,2017-1-1,2017-12-31,,2017
751b53578f39ddce87775f7082f69ccd-25d34ff91a515217fede4546ad6e3482-ac7da7b603e576863c84d7371d26c5da-5af2b5d51fdeb5de03488d84385da93b,Abu Dhabi Marine Areas Limited,United Kingdom of Great Britain and Northern Ireland,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report751b53578f39ddce87775f7082f69ccd-25d34ff91a515217fede4546ad6e3482-ac7da7b603e576863c84d7371d26c5da-5af2b5d51fdeb5de03488d84385da93b,.zip,2015-1-1,2015-12-31,2016-10-5,2015
24665be1c4adbdc1e1dfae21a4e58a81-87a849d8c098f818a2fe2cb4c64a3210-71f5baa7567ac45c8cde6bdbb3e7a3a4-4bcda01aeb919c18efcde4a724eda56a,Abu Dhabi Marine Areas Limited,United Kingdom of Great Britain and Northern Ireland,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report24665be1c4adbdc1e1dfae21a4e58a81-87a849d8c098f818a2fe2cb4c64a3210-71f5baa7567ac45c8cde6bdbb3e7a3a4-4bcda01aeb919c18efcde4a724eda56a,.zip,2016-1-1,2016-12-31,2017-11-20,2016
1efa21aa1719ae357afcd68af542af9b,Acacia Mining Public Limited Company,United Kingdom of Great Britain and Northern Ireland,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report1efa21aa1719ae357afcd68af542af9b,.pdf,2015-1-1,2015-12-31,2016-12-6,2015
53c340e59fc7b053feb4d7bffb6b666b-cb79ee7dc2691972f5754743a03b314b-5fe1b874ce2c82c70048f9c03f96e93d-2f0e4f9106a3de14f35a964e3f1895ca,Acacia Mining Public Limited Company,United Kingdom of Great Britain and Northern Ireland,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report-53c340e59fc7b053feb4d7bffb6b666b-cb79ee7dc2691972f5754743a03b314b-5fe1b874ce2c82c70048f9c03f96e93d-2f0e4f9106a3de14f35a964e3f1895ca,.zip,2016-1-1,2016-12-31,2017-9-19,2016
407b3603043d3b616444e86c96a58289,Acron Group,United Kingdom of Great Britain and Northern Ireland,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report407b3603043d3b616444e86c96a58289,.pdf,2015-1-1,2015-12-31,2016-6-1,2015
55749a8744db94dc3dd545c5afb0db63,Acron Group,United Kingdom of Great Britain and Northern Ireland,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report55749a8744db94dc3dd545c5afb0db63,.pdf,2016-1-1,2016-12-31,2017-6-1,2016
c5e919bfa2b342474a9f0ce377c12881,Acron Group,United Kingdom of Great Britain and Northern Ireland,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-reportc5e919bfa2b342474a9f0ce377c12881,.pdf,2017-1-1,2017-12-31,2018-6-1,2017
dbd584c748d12ca9c0eb2c5bf48a1614,Advantage Lithium Corporation,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report-dbd584c748d12ca9c0eb2c5bf48a1614,.pdf,2016-8-1,2017-7-31,2018-5-4,2017
061d2d7a7680a4289f5479484a5f267d,Advantage Oil and Gas Limited,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report061d2d7a7680a4289f5479484a5f267d,.pdf,2016-1-1,2016-12-31,2017-5-29,2016
0b9f0dc0e5546330e08cb4e0b514bb9a,Advantage Oil and Gas Limited,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report0b9f0dc0e5546330e08cb4e0b514bb9a,.pdf,2017-1-1,2017-12-31,2018-5-24,2017
c55f01aea31ae1bb77d69bc8beea3867,Aecon Group Incorporated,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-reportc55f01aea31ae1bb77d69bc8beea3867,.pdf,2016-1-1,2016-12-31,2017-5-5,2016
7b32ce45ee9299a245397790a40755bf,Aecon Group Incorporated,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report7b32ce45ee9299a245397790a40755bf,.pdf,2017-1-1,2017-12-31,2018-5-31,2017
f1c0dd6b25bcd40b5f7b6d9ae7af1342,Africa Oil Corporation,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-reportf1c0dd6b25bcd40b5f7b6d9ae7af1342,.pdf,2016-1-1,2016-12-31,2017-5-27,2016
0a8aef6bc49e6bd36515b449d231d57e,Africa Oil Corporation,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report0a8aef6bc49e6bd36515b449d231d57e,.pdf,2017-1-1,2017-12-31,2018-5-10,2017
7cca4e996273da026dea824889badf72,African Petroleum Corporation Limited,Norway,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report7cca4e996273da026dea824889badf72,.pdf,2016-1-1,2016-12-31,2017-4-13,2016
b302f59826e2212d6a085e484dbb04e8,African Petroleum Corporation Limited,Norway,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report-b302f59826e2212d6a085e484dbb04e8,.pdf,2017-1-1,2017-12-31,,2017
6f23cc396d6c684e1146f05904d9e1a1-018d4c7d4aec4064d0ea07ce804774d7-f9a5dd38c26c25ba3da31af3387e8974-1f5c9d7812b8027cb2fd9d4f7e0e2a5e,Aggregate Industries United Kingdom Limited,United Kingdom of Great Britain and Northern Ireland,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report6f23cc396d6c684e1146f05904d9e1a1-018d4c7d4aec4064d0ea07ce804774d7-f9a5dd38c26c25ba3da31af3387e8974-1f5c9d7812b8027cb2fd9d4f7e0e2a5e,.zip,2015-1-1,2015-12-31,2016-10-25,2015
bfdf0f7214e79cf7fe521ab4a83e1fbc-91068e28c8c4a841d692c86c6449e29c-db5752b7e5a6370d2da56d5a33deb315-e2f3fdeba6425780e92aef4f97da5a07,Aggregate Industries United Kingdom Limited,United Kingdom of Great Britain and Northern Ireland,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-reportbfdf0f7214e79cf7fe521ab4a83e1fbc-91068e28c8c4a841d692c86c6449e29c-db5752b7e5a6370d2da56d5a33deb315-e2f3fdeba6425780e92aef4f97da5a07,.zip,2016-1-1,2016-12-31,2017-12-6,2016
cd7e3a6e44cbd8c39b2cc150932b9f54,Agnico Eagle Mines Limited,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-reportcd7e3a6e44cbd8c39b2cc150932b9f54,.pdf,2016-1-1,2016-12-31,2017-5-30,2016
9198973e07605036d0c01d77e517a46c,Agnico Eagle Mines Limited,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report9198973e07605036d0c01d77e517a46c,.pdf,2017-1-1,2017-12-31,2018-5-29,2017
1ce73929c5156a8c0e1ef50095247a51,Agrium Incorporated,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report1ce73929c5156a8c0e1ef50095247a51,.pdf,2016-1-1,2016-12-31,2017-5-26,2016
11679f34b9da64b3582263ba3dd71919,Agrium Incorporated,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report11679f34b9da64b3582263ba3dd71919,.pdf,2017-1-1,2017-12-31,2018-5-30,2017
b2e0540700be093763ad61b883dab990,Aguia Resources Limited,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-reportb2e0540700be093763ad61b883dab990,.pdf,2016-7-1,2017-6-30,2017-11-27,2017
5ad893e4067268da13df56eda9c2628b,Aker BP ASA,Norway,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report5ad893e4067268da13df56eda9c2628b,.pdf,2016-1-1,2016-12-31,2017-1-1,2016
a3f2e95bd08169575e909f34a2af31ac,Aker BP ASA,Norway,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-reporta3f2e95bd08169575e909f34a2af31ac,.pdf,2017-1-1,2017-12-31,2018-3-12,2017
fbecaa4fd71db53fbd0217dfb3367c3e,Alacer Gold Corporation,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-reportfbecaa4fd71db53fbd0217dfb3367c3e,.pdf,2016-1-1,2016-12-31,2017-5-2,2016
a6f24dafec9f935f8b8b17539213fc71,Alacer Gold Corporation,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-reporta6f24dafec9f935f8b8b17539213fc71,.pdf,2017-1-1,2017-12-31,2018-5-1,2017
d79dd11ac883a66e1d567e58455f08b3,Alamos Gold Incorporated,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-reportd79dd11ac883a66e1d567e58455f08b3,.pdf,2016-1-1,2016-12-31,2017-5-29,2016
af15ef87d14001b68864216b53e776de,Alamos Gold Incorporated,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-reportaf15ef87d14001b68864216b53e776de,.pdf,2017-1-1,2017-12-31,2018-5-30,2017
3df3540c909344e340538c5da7d0eaa6,Alderon Iron Ore Corporation,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report3df3540c909344e340538c5da7d0eaa6,.pdf,2016-1-1,2016-12-31,2017-5-11,2016
61673fa0aaad599768e3837f165b1fd5,Alderon Iron Ore Corporation,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report61673fa0aaad599768e3837f165b1fd5,.pdf,2017-1-1,2017-12-31,2018-5-28,2017
